CTVs Signed	Canvassed	Dials	Minutes on dialer	VBM (Yes)	VBM (Yes-Offline)	Plan to Vote (Early (In-Person))	Plan to Vote (Election Day)	Plan to Vote (Vote By Mail)	Week Number	datecanvassed	statecode	week_range
1974.0	3019.0	141177.0	47528.04	37.0	17.0	0.0	0.0	0.0	10.0	2020-08-23	AZ	08/22 - 08/28
2828.0	4177.0	155149.0	51628.060000000005	59.0	15.0	0.0	0.0	0.0	9.0	2020-08-31	AZ	08/29 - 09/04
2784.0	7215.0	219828.0	26453.59	139.0	44.0	0.0	0.0	0.0	9.0	2020-09-01	AZ	08/29 - 09/04
3299.0	4691.0	84858.0	25942.23	109.0	14.0	0.0	0.0	0.0	8.0	2020-09-08	AZ	09/05 - 09/11
3356.0	4952.0	118787.0	27279.949999999997	91.0	13.0	0.0	0.0	0.0	8.0	2020-09-09	AZ	09/05 - 09/11
3826.0	5544.0	127658.0	84879.72	112.0	20.0	0.0	0.0	0.0	7.0	2020-09-15	AZ	09/12 - 09/18
3046.0	4336.0	118734.0	26638.399999999998	50.0	7.0	0.0	0.0	0.0	7.0	2020-09-16	AZ	09/12 - 09/18
1934.0	2402.0	129612.0	22857.08	22.0	19.0	0.0	0.0	0.0	4.0	2020-10-03	AZ	10/03 - 10/09
2112.0	2632.0	156077.0	24704.519999999997	31.0	14.0	0.0	0.0	0.0	4.0	2020-10-04	AZ	10/03 - 10/09
1958.0	2597.0	114965.0	22489.929999999997	22.0	19.0	0.0	0.0	0.0	4.0	2020-10-05	AZ	10/03 - 10/09
0.0	2346.0	65207.0	10632.87	0.0	0.0	0.0	0.0	0.0	3.0	2020-10-10	AZ	10/10 - 10/16
0.0	2152.0	54191.0	10060.529999999999	0.0	0.0	0.0	0.0	0.0	3.0	2020-10-11	AZ	10/10 - 10/16
0.0	2259.0	59313.0	10460.6	0.0	0.0	0.0	0.0	0.0	3.0	2020-10-12	AZ	10/10 - 10/16
