CTVs Signed	Canvassed	Dials	Minutes on dialer	VBM (Yes)	VBM (Yes-Offline)	Plan to Vote (Early (In-Person))	Plan to Vote (Election Day)	Plan to Vote (Vote By Mail)	Week Number	datecanvassed	statecode	week_range
0.0	1962.0	40374.0	8704.13	0.0	0.0	0.0	0.0	0.0	3.0	2020-10-13	AZ	10/10 - 10/16
0.0	1784.0	40635.0	8537.720000000001	0.0	0.0	0.0	0.0	0.0	3.0	2020-10-14	AZ	10/10 - 10/16
0.0	2011.0	53066.0	9228.91	0.0	0.0	0.0	0.0	0.0	2.0	2020-10-17	AZ	10/17 - 10/23
0.0	2602.0	76785.0	10176.07	0.0	0.0	0.0	0.0	0.0	2.0	2020-10-18	AZ	10/17 - 10/23
0.0	1956.0	54853.0	8322.41	0.0	0.0	0.0	0.0	0.0	2.0	2020-10-20	AZ	10/17 - 10/23
0.0	1803.0	55522.0	7787.459999999999	0.0	0.0	0.0	0.0	0.0	2.0	2020-10-21	AZ	10/17 - 10/23
0.0	420.0	36533.0	8586.27	0.0	0.0	89.0	102.0	117.0	1.0	2020-10-24	AZ	10/24 - 11/03
0.0	527.0	69820.0	8824.88	0.0	0.0	106.0	164.0	70.0	1.0	2020-10-25	AZ	10/24 - 11/03
0.0	1061.0	108504.0	13505.329999999998	0.0	0.0	197.0	279.0	151.0	1.0	2020-10-26	AZ	10/24 - 11/03
0.0	1129.0	104153.0	11937.230000000001	0.0	0.0	158.0	290.0	152.0	1.0	2020-10-27	AZ	10/24 - 11/03
0.0	1756.0	109428.0	12693.539999999997	0.0	0.0	249.0	460.0	191.0	1.0	2020-10-28	AZ	10/24 - 11/03
0.0	972.0	129516.0	16183.61	0.0	0.0	0.0	368.0	0.0	1.0	2020-10-31	AZ	10/24 - 11/03
0.0	1276.0	185689.0	17493.51	0.0	0.0	0.0	336.0	0.0	1.0	2020-11-01	AZ	10/24 - 11/03
0.0	517.0	102580.0	12071.51	0.0	0.0	0.0	200.0	0.0	1.0	2020-11-02	AZ	10/24 - 11/03
0.0	416.0	89730.0	63968.299999999996	0.0	0.0	0.0	90.0	0.0	1.0	2020-11-03	AZ	10/24 - 11/03
2985.0	15773.0	194656.0	50506.420000000006	0.0	0.0	0.0	0.0	0.0	10.0	2020-08-24	CO	08/22 - 08/28
2210.0	3263.0	155179.0	21429.56	52.0	0.0	0.0	0.0	0.0	9.0	2020-08-29	CO	08/29 - 09/04
3001.0	4235.0	153236.0	24348.44	155.0	0.0	0.0	0.0	0.0	9.0	2020-08-30	CO	08/29 - 09/04
3454.0	4881.0	167582.0	25862.030000000002	134.0	0.0	0.0	0.0	0.0	9.0	2020-09-02	CO	08/29 - 09/04
3315.0	4586.0	176321.0	24840.980000000003	119.0	0.0	0.0	0.0	0.0	7.0	2020-09-12	CO	09/12 - 09/18
2983.0	4146.0	167923.0	25825.750000000004	108.0	0.0	0.0	0.0	0.0	7.0	2020-09-13	CO	09/12 - 09/18
3713.0	5155.0	203318.0	28064.65	136.0	0.0	0.0	0.0	0.0	7.0	2020-09-14	CO	09/12 - 09/18
2208.0	2579.0	94704.0	26190.550000000003	6.0	1.0	0.0	0.0	0.0	4.0	2020-10-06	CO	10/03 - 10/09
3192.0	3780.0	163313.0	24607.96	8.0	1.0	0.0	0.0	0.0	4.0	2020-10-07	CO	10/03 - 10/09
0.0	1552.0	71602.0	9886.23	2.0	0.0	130.0	73.0	1148.0	3.0	2020-10-10	CO	10/10 - 10/16
0.0	1486.0	62832.0	9514.84	3.0	0.0	161.0	39.0	1068.0	3.0	2020-10-11	CO	10/10 - 10/16
0.0	1613.0	55523.0	11174.499999999998	8.0	0.0	207.0	71.0	1001.0	3.0	2020-10-12	CO	10/10 - 10/16
0.0	1789.0	74775.0	10358.380000000001	5.0	0.0	170.0	29.0	1060.0	3.0	2020-10-13	CO	10/10 - 10/16
0.0	1467.0	47172.0	10100.41	1.0	0.0	114.0	33.0	830.0	3.0	2020-10-14	CO	10/10 - 10/16
0.0	1351.0	54447.0	7464.169999999999	2.0	0.0	143.0	28.0	625.0	2.0	2020-10-17	CO	10/17 - 10/23
0.0	1340.0	64767.0	8477.699999999999	0.0	0.0	93.0	24.0	523.0	2.0	2020-10-18	CO	10/17 - 10/23
0.0	1525.0	58949.0	9969.65	5.0	0.0	116.0	29.0	670.0	2.0	2020-10-19	CO	10/17 - 10/23
0.0	1375.0	56129.0	9873.210000000001	1.0	0.0	110.0	34.0	660.0	2.0	2020-10-20	CO	10/17 - 10/23
0.0	1568.0	62417.0	9927.04	6.0	0.0	164.0	37.0	721.0	2.0	2020-10-21	CO	10/17 - 10/23
0.0	426.0	24795.0	9380.86	1.0	0.0	26.0	13.0	177.0	1.0	2020-10-24	CO	10/24 - 11/03
0.0	1028.0	62745.0	9883.31	1.0	0.0	118.0	43.0	442.0	1.0	2020-10-25	CO	10/24 - 11/03
0.0	1287.0	72241.0	12249.63	2.0	0.0	114.0	49.0	398.0	1.0	2020-10-26	CO	10/24 - 11/03
0.0	1570.0	93537.0	11894.79	3.0	0.0	195.0	43.0	392.0	1.0	2020-10-27	CO	10/24 - 11/03
0.0	764.0	64330.0	11794.45	3.0	0.0	82.0	26.0	213.0	1.0	2020-10-28	CO	10/24 - 11/03
0.0	315.0	28688.0	4600.5199999999995	0.0	0.0	44.0	24.0	55.0	1.0	2020-10-31	CO	10/24 - 11/03
0.0	420.0	47816.0	6019.610000000001	0.0	0.0	38.0	50.0	41.0	1.0	2020-11-01	CO	10/24 - 11/03
0.0	201.0	23831.0	6110.77	0.0	0.0	2.0	33.0	22.0	1.0	2020-11-02	CO	10/24 - 11/03
0.0	760.0	79405.0	85454.9	0.0	0.0	0.0	64.0	13.0	1.0	2020-11-03	CO	10/24 - 11/03
2196.0	3347.0	196536.0	48605.840000000004	34.0	24.0	0.0	0.0	0.0	6.0	2020-09-19	MN	09/19 - 09/25
2506.0	3807.0	181869.0	26693.61	30.0	27.0	0.0	0.0	0.0	6.0	2020-09-20	MN	09/19 - 09/25
2433.0	3913.0	177586.0	28245.91	31.0	24.0	0.0	0.0	0.0	6.0	2020-09-21	MN	09/19 - 09/25
1830.0	2824.0	137170.0	24211.469999999998	40.0	20.0	0.0	0.0	0.0	6.0	2020-09-22	MN	09/19 - 09/25
2156.0	3522.0	169042.0	22808.160000000003	24.0	24.0	0.0	0.0	0.0	6.0	2020-09-23	MN	09/19 - 09/25
2025.0	3164.0	146090.0	21900.28	10.0	11.0	0.0	0.0	0.0	5.0	2020-09-26	MN	09/26 - 10/02
1640.0	2695.0	127558.0	23872.22	7.0	6.0	0.0	0.0	0.0	5.0	2020-09-27	MN	09/26 - 10/02
1524.0	2650.0	110726.0	20176.62	14.0	6.0	0.0	0.0	0.0	5.0	2020-09-28	MN	09/26 - 10/02
1184.0	2262.0	102119.0	15197.140000000001	7.0	8.0	0.0	0.0	0.0	5.0	2020-09-29	MN	09/26 - 10/02
1294.0	2488.0	130038.0	25740.57	8.0	9.0	0.0	0.0	0.0	5.0	2020-09-30	MN	09/26 - 10/02
1750.0	2378.0	109801.0	48777.020000000004	14.0	57.0	0.0	0.0	0.0	10.0	2020-08-26	MT	08/22 - 08/28
0.0	534.0	13258.0	3074.1700000000005	0.0	0.0	12.0	30.0	437.0	3.0	2020-10-10	MT	10/10 - 10/16
0.0	584.0	20543.0	3648.16	0.0	0.0	21.0	15.0	448.0	3.0	2020-10-11	MT	10/10 - 10/16
0.0	443.0	18275.0	2918.0499999999997	0.0	0.0	22.0	17.0	272.0	3.0	2020-10-12	MT	10/10 - 10/16
0.0	438.0	21000.0	2974.44	0.0	0.0	11.0	13.0	227.0	3.0	2020-10-13	MT	10/10 - 10/16
0.0	314.0	18703.0	2593.94	0.0	0.0	11.0	10.0	138.0	3.0	2020-10-14	MT	10/10 - 10/16
0.0	398.0	16193.0	2737.86	0.0	0.0	8.0	18.0	104.0	2.0	2020-10-17	MT	10/17 - 10/23
0.0	504.0	26939.0	3447.33	0.0	0.0	6.0	27.0	126.0	2.0	2020-10-18	MT	10/17 - 10/23
0.0	473.0	26528.0	2966.59	0.0	0.0	13.0	6.0	105.0	2.0	2020-10-19	MT	10/17 - 10/23
0.0	427.0	30111.0	2653.0600000000004	0.0	0.0	17.0	11.0	86.0	2.0	2020-10-20	MT	10/17 - 10/23
0.0	177.0	14726.0	1815.9099999999999	0.0	0.0	1.0	1.0	35.0	2.0	2020-10-21	MT	10/17 - 10/23
0.0	51.0	4324.0	1626.0700000000002	0.0	0.0	3.0	3.0	17.0	1.0	2020-10-24	MT	10/24 - 11/03
0.0	294.0	23456.0	2851.5	0.0	0.0	30.0	27.0	60.0	1.0	2020-10-25	MT	10/24 - 11/03
0.0	190.0	9657.0	27753.84	0.0	0.0	0.0	42.0	0.0	1.0	2020-11-03	MT	10/24 - 11/03
917.0	1680.0	95458.0	29533.199999999997	51.0	43.0	0.0	0.0	0.0	10.0	2020-08-26	AL	08/22 - 08/28
825.0	1658.0	126241.0	37676.12	38.0	32.0	0.0	0.0	0.0	9.0	2020-08-31	AL	08/29 - 09/04
1348.0	2432.0	94975.0	18419.29	124.0	50.0	0.0	0.0	0.0	9.0	2020-09-01	AL	08/29 - 09/04
1434.0	2533.0	85172.0	18333.230000000003	109.0	57.0	0.0	0.0	0.0	8.0	2020-09-09	AL	09/05 - 09/11
118.0	219.0	6294.0	2539.2000000000003	5.0	4.0	0.0	0.0	0.0	7.0	2020-09-15	AL	09/12 - 09/18
0.0	0.0	19.0	14.120000000000001	0.0	0.0	0.0	0.0	0.0	7.0	2020-09-16	AL	09/12 - 09/18
621.0	865.0	53210.0	10459.77	14.0	16.0	0.0	0.0	0.0	5.0	2020-09-26	AL	09/26 - 10/02
550.0	772.0	44873.0	10923.17	16.0	19.0	0.0	0.0	0.0	5.0	2020-09-27	AL	09/26 - 10/02
670.0	905.0	53332.0	10222.91	6.0	31.0	0.0	0.0	0.0	5.0	2020-09-28	AL	09/26 - 10/02
659.0	885.0	53532.0	11181.39	11.0	18.0	0.0	0.0	0.0	5.0	2020-09-29	AL	09/26 - 10/02
780.0	1067.0	72224.0	10870.82	5.0	21.0	0.0	0.0	0.0	5.0	2020-09-30	AL	09/26 - 10/02
0.0	425.0	16628.0	2965.4799999999996	5.0	0.0	0.0	251.0	71.0	3.0	2020-10-12	AL	10/10 - 10/16
0.0	802.0	29747.0	5536.49	5.0	0.0	0.0	506.0	116.0	3.0	2020-10-13	AL	10/10 - 10/16
0.0	609.0	22350.0	4770.11	5.0	0.0	0.0	361.0	95.0	3.0	2020-10-14	AL	10/10 - 10/16
0.0	420.0	17493.0	3486.22	0.0	0.0	0.0	280.0	52.0	2.0	2020-10-17	AL	10/17 - 10/23
0.0	564.0	23589.0	4220.150000000001	2.0	0.0	0.0	359.0	70.0	2.0	2020-10-18	AL	10/17 - 10/23
0.0	575.0	26177.0	4348.67	4.0	0.0	0.0	398.0	63.0	2.0	2020-10-19	AL	10/17 - 10/23
0.0	564.0	27766.0	4475.900000000001	3.0	0.0	0.0	383.0	70.0	2.0	2020-10-20	AL	10/17 - 10/23
0.0	285.0	16728.0	3194.89	0.0	0.0	0.0	186.0	24.0	2.0	2020-10-21	AL	10/17 - 10/23
0.0	867.0	35462.0	14230.440000000002	0.0	0.0	0.0	611.0	20.0	1.0	2020-11-01	AL	10/24 - 11/03
0.0	104.0	3284.0	10202.759999999998	0.0	0.0	0.0	32.0	5.0	1.0	2020-11-03	AL	10/24 - 11/03
1133.0	1542.0	73620.0	13859.039999999999	13.0	45.0	0.0	0.0	0.0	10.0	2020-08-24	IA	08/22 - 08/28
982.0	1320.0	54371.0	44095.05	13.0	28.0	0.0	0.0	0.0	10.0	2020-08-25	IA	08/22 - 08/28
1232.0	1702.0	94924.0	17504.809999999998	14.0	32.0	0.0	0.0	0.0	9.0	2020-08-29	IA	08/29 - 09/04
1115.0	1647.0	119374.0	41725.340000000004	7.0	31.0	0.0	0.0	0.0	6.0	2020-09-19	IA	09/19 - 09/25
832.0	1285.0	123839.0	21117.510000000002	1.0	9.0	0.0	0.0	0.0	6.0	2020-09-20	IA	09/19 - 09/25
0.0	849.0	21801.0	6055.2	1.0	0.0	0.0	0.0	0.0	4.0	2020-10-05	IA	10/03 - 10/09
0.0	960.0	27028.0	5780.830000000001	2.0	0.0	0.0	0.0	0.0	4.0	2020-10-06	IA	10/03 - 10/09
0.0	933.0	28759.0	5258.79	0.0	0.0	0.0	0.0	0.0	4.0	2020-10-07	IA	10/03 - 10/09
0.0	952.0	19664.0	5135.57	0.0	0.0	0.0	0.0	0.0	3.0	2020-10-11	IA	10/10 - 10/16
0.0	850.0	19153.0	4759.87	1.0	0.0	0.0	0.0	0.0	3.0	2020-10-12	IA	10/10 - 10/16
0.0	649.0	37028.0	5596.32	1.0	0.0	109.0	274.0	66.0	2.0	2020-10-17	IA	10/17 - 10/23
0.0	698.0	44239.0	5653.799999999999	1.0	0.0	79.0	272.0	58.0	2.0	2020-10-18	IA	10/17 - 10/23
0.0	1023.0	53571.0	6332.359999999999	1.0	0.0	79.0	360.0	67.0	2.0	2020-10-19	IA	10/17 - 10/23
0.0	874.0	36096.0	5320.810000000001	1.0	0.0	78.0	237.0	37.0	2.0	2020-10-20	IA	10/17 - 10/23
0.0	602.0	28653.0	5137.62	0.0	0.0	54.0	202.0	25.0	2.0	2020-10-21	IA	10/17 - 10/23
0.0	758.0	41808.0	6748.99	0.0	0.0	79.0	285.0	38.0	1.0	2020-10-26	IA	10/24 - 11/03
0.0	728.0	45812.0	6150.23	0.0	0.0	77.0	261.0	20.0	1.0	2020-10-27	IA	10/24 - 11/03
0.0	641.0	43060.0	6785.8	0.0	0.0	74.0	221.0	20.0	1.0	2020-10-28	IA	10/24 - 11/03
0.0	1194.0	72309.0	19107.3	0.0	0.0	103.0	416.0	11.0	1.0	2020-10-31	IA	10/24 - 11/03
0.0	974.0	70681.0	12686.019999999999	0.0	0.0	67.0	347.0	8.0	1.0	2020-11-01	IA	10/24 - 11/03
0.0	1129.0	90656.0	21730.52	0.0	0.0	36.0	594.0	15.0	1.0	2020-11-02	IA	10/24 - 11/03
0.0	708.0	67960.0	106087.56000000001	0.0	0.0	0.0	148.0	3.0	1.0	2020-11-03	IA	10/24 - 11/03
1445.0	2368.0	102485.0	18898.510000000002	119.0	41.0	0.0	0.0	0.0	9.0	2020-08-30	KS	08/29 - 09/04
1160.0	1967.0	94332.0	16635.570000000003	70.0	31.0	0.0	0.0	0.0	8.0	2020-09-08	KS	09/05 - 09/11
1630.0	2670.0	89603.0	21327.18	102.0	34.0	0.0	0.0	0.0	7.0	2020-09-16	KS	09/12 - 09/18
662.0	930.0	48353.0	10047.05	7.0	18.0	0.0	0.0	0.0	4.0	2020-10-03	KS	10/03 - 10/09
732.0	1110.0	67871.0	11075.749999999998	3.0	15.0	0.0	0.0	0.0	4.0	2020-10-04	KS	10/03 - 10/09
323.0	456.0	23696.0	5036.58	3.0	5.0	0.0	0.0	0.0	4.0	2020-10-05	KS	10/03 - 10/09
165.0	224.0	17609.0	5265.92	0.0	5.0	0.0	0.0	0.0	4.0	2020-10-06	KS	10/03 - 10/09
300.0	379.0	31355.0	4861.450000000001	2.0	3.0	0.0	0.0	0.0	4.0	2020-10-07	KS	10/03 - 10/09
0.0	495.0	20150.0	3670.3099999999995	0.0	0.0	0.0	0.0	0.0	3.0	2020-10-10	KS	10/10 - 10/16
0.0	583.0	23607.0	4489.87	1.0	0.0	0.0	0.0	0.0	3.0	2020-10-11	KS	10/10 - 10/16
0.0	309.0	12938.0	4619.26	1.0	0.0	49.0	107.0	31.0	1.0	2020-10-24	KS	10/24 - 11/03
0.0	689.0	25088.0	5213.94	4.0	0.0	80.0	347.0	60.0	1.0	2020-10-25	KS	10/24 - 11/03
0.0	213.0	6712.0	5138.26	1.0	0.0	16.0	96.0	13.0	1.0	2020-10-26	KS	10/24 - 11/03
0.0	559.0	23174.0	5427.149999999999	0.0	0.0	78.0	270.0	30.0	1.0	2020-10-27	KS	10/24 - 11/03
0.0	638.0	32427.0	5803.370000000001	0.0	0.0	72.0	333.0	45.0	1.0	2020-10-28	KS	10/24 - 11/03
0.0	456.0	29797.0	14692.060000000001	0.0	0.0	44.0	240.0	6.0	1.0	2020-10-31	KS	10/24 - 11/03
0.0	741.0	42523.0	15666.64	0.0	0.0	7.0	477.0	7.0	1.0	2020-11-02	KS	10/24 - 11/03
0.0	341.0	27377.0	61101.24	0.0	0.0	0.0	77.0	1.0	1.0	2020-11-03	KS	10/24 - 11/03
182.0	257.0	3781.0	39742.26	6.0	3.0	0.0	0.0	0.0	7.0	2020-09-12	NE	09/12 - 09/18
2069.0	3354.0	124843.0	22718.92	31.0	47.0	0.0	0.0	0.0	7.0	2020-09-14	NE	09/12 - 09/18
1743.0	2918.0	102849.0	42858.219999999994	96.0	30.0	0.0	0.0	0.0	7.0	2020-09-15	NE	09/12 - 09/18
0.0	904.0	22668.0	5122.819999999999	0.0	0.0	0.0	0.0	0.0	3.0	2020-10-13	NE	10/10 - 10/16
0.0	1034.0	28140.0	5464.75	1.0	0.0	0.0	0.0	0.0	3.0	2020-10-14	NE	10/10 - 10/16
0.0	251.0	13346.0	3362.43	0.0	0.0	38.0	135.0	12.0	1.0	2020-10-24	NE	10/24 - 11/03
0.0	787.0	23958.0	4829.910000000001	0.0	0.0	116.0	253.0	25.0	1.0	2020-10-25	NE	10/24 - 11/03
0.0	724.0	24191.0	10275.4	0.0	0.0	47.0	281.0	7.0	1.0	2020-11-01	NE	10/24 - 11/03
1377.0	2418.0	110976.0	32455.879999999997	96.0	46.0	0.0	0.0	0.0	10.0	2020-08-23	WI	08/22 - 08/28
1070.0	1816.0	78672.0	18296.409999999996	68.0	27.0	0.0	0.0	0.0	9.0	2020-09-02	WI	08/29 - 09/04
1739.0	3154.0	106463.0	21587.269999999997	80.0	34.0	0.0	0.0	0.0	7.0	2020-09-12	WI	09/12 - 09/18
1806.0	3218.0	115586.0	23016.82	65.0	32.0	0.0	0.0	0.0	7.0	2020-09-13	WI	09/12 - 09/18
1072.0	1732.0	126171.0	20797.530000000002	9.0	35.0	0.0	0.0	0.0	6.0	2020-09-21	WI	09/19 - 09/25
1039.0	1787.0	110694.0	21279.559999999998	6.0	34.0	0.0	0.0	0.0	6.0	2020-09-22	WI	09/19 - 09/25
1065.0	1778.0	103076.0	17059.58	5.0	24.0	0.0	0.0	0.0	6.0	2020-09-23	WI	09/19 - 09/25
0.0	1186.0	33790.0	7833.210000000002	0.0	0.0	0.0	0.0	0.0	5.0	2020-09-26	WI	09/26 - 10/02
0.0	1006.0	31835.0	8617.539999999999	0.0	0.0	0.0	0.0	0.0	5.0	2020-09-27	WI	09/26 - 10/02
0.0	937.0	23661.0	7241.17	0.0	0.0	0.0	0.0	0.0	5.0	2020-09-28	WI	09/26 - 10/02
0.0	1845.0	48921.0	9423.77	0.0	0.0	0.0	0.0	0.0	5.0	2020-09-29	WI	09/26 - 10/02
0.0	1600.0	48595.0	9038.69	0.0	0.0	0.0	0.0	0.0	5.0	2020-09-30	WI	09/26 - 10/02
0.0	1238.0	40907.0	7018.810000000001	0.0	0.0	0.0	0.0	0.0	4.0	2020-10-03	WI	10/03 - 10/09
0.0	1486.0	52026.0	8969.76	0.0	0.0	0.0	0.0	0.0	4.0	2020-10-04	WI	10/03 - 10/09
0.0	1057.0	46923.0	7971.99	1.0	0.0	0.0	0.0	0.0	4.0	2020-10-05	WI	10/03 - 10/09
0.0	1057.0	40747.0	9600.49	0.0	0.0	0.0	0.0	0.0	4.0	2020-10-06	WI	10/03 - 10/09
0.0	1502.0	64537.0	8852.18	0.0	0.0	0.0	0.0	0.0	4.0	2020-10-07	WI	10/03 - 10/09
0.0	1284.0	47808.0	7893.280000000001	3.0	0.0	0.0	0.0	0.0	3.0	2020-10-10	WI	10/10 - 10/16
0.0	1158.0	64075.0	8600.13	2.0	0.0	0.0	0.0	0.0	3.0	2020-10-11	WI	10/10 - 10/16
0.0	1311.0	52471.0	9523.75	0.0	0.0	0.0	0.0	0.0	3.0	2020-10-12	WI	10/10 - 10/16
0.0	1445.0	68690.0	8651.57	0.0	0.0	0.0	0.0	0.0	3.0	2020-10-13	WI	10/10 - 10/16
0.0	1646.0	55884.0	8350.59	0.0	0.0	0.0	0.0	0.0	3.0	2020-10-14	WI	10/10 - 10/16
0.0	671.0	42837.0	5596.250000000001	0.0	0.0	0.0	0.0	0.0	2.0	2020-10-17	WI	10/17 - 10/23
0.0	1060.0	73136.0	7961.6900000000005	0.0	0.0	0.0	0.0	0.0	2.0	2020-10-18	WI	10/17 - 10/23
0.0	1338.0	59496.0	9743.53	5.0	0.0	342.0	586.0	127.0	2.0	2020-10-19	WI	10/17 - 10/23
0.0	870.0	49674.0	8295.970000000001	2.0	0.0	219.0	324.0	66.0	2.0	2020-10-20	WI	10/17 - 10/23
0.0	711.0	38996.0	7274.700000000001	1.0	0.0	202.0	215.0	58.0	2.0	2020-10-21	WI	10/17 - 10/23
0.0	255.0	12149.0	4916.13	4.0	0.0	34.0	96.0	25.0	1.0	2020-10-24	WI	10/24 - 11/03
0.0	431.0	25333.0	3570.64	0.0	0.0	83.0	201.0	15.0	1.0	2020-10-25	WI	10/24 - 11/03
0.0	1378.0	78113.0	9823.320000000002	0.0	0.0	224.0	505.0	53.0	1.0	2020-10-26	WI	10/24 - 11/03
0.0	1052.0	66037.0	8050.55	0.0	0.0	174.0	367.0	37.0	1.0	2020-10-27	WI	10/24 - 11/03
0.0	873.0	56488.0	8118.37	0.0	0.0	135.0	371.0	19.0	1.0	2020-10-28	WI	10/24 - 11/03
0.0	906.0	51817.0	12304.82	0.0	0.0	130.0	369.0	6.0	1.0	2020-10-31	WI	10/24 - 11/03
0.0	979.0	85412.0	14166.85	0.0	0.0	52.0	471.0	3.0	1.0	2020-11-01	WI	10/24 - 11/03
0.0	1052.0	91894.0	14367.9	0.0	0.0	0.0	674.0	14.0	1.0	2020-11-02	WI	10/24 - 11/03
0.0	1011.0	74398.0	105189.20000000001	0.0	0.0	0.0	230.0	3.0	1.0	2020-11-03	WI	10/24 - 11/03
2698.0	22732.0	254778.0	43381.28	50.0	145.0	0.0	0.0	0.0	9.0	2020-09-01	KY	08/29 - 09/04
1160.0	2678.0	180658.0	40449.95	48.0	52.0	0.0	0.0	0.0	9.0	2020-09-02	KY	08/29 - 09/04
0.0	2337.0	59374.0	13310.349999999999	1.0	0.0	0.0	0.0	0.0	4.0	2020-10-06	KY	10/03 - 10/09
0.0	2897.0	93975.0	14720.779999999999	0.0	0.0	0.0	0.0	0.0	4.0	2020-10-07	KY	10/03 - 10/09
0.0	8.0	189.0	34.230000000000004	0.0	0.0	0.0	0.0	0.0	3.0	2020-10-13	KY	10/10 - 10/16
0.0	2532.0	80562.0	13766.45	1.0	0.0	0.0	0.0	0.0	3.0	2020-10-14	KY	10/10 - 10/16
0.0	1211.0	43599.0	8864.63	0.0	0.0	0.0	0.0	0.0	2.0	2020-10-21	KY	10/17 - 10/23
0.0	1278.0	104526.0	13178.409999999998	0.0	0.0	195.0	426.0	35.0	1.0	2020-10-28	KY	10/24 - 11/03
0.0	1248.0	113758.0	35200.06	0.0	0.0	109.0	444.0	31.0	1.0	2020-11-01	KY	10/24 - 11/03
2335.0	19433.0	166309.0	60048.78	31.0	69.0	0.0	0.0	0.0	10.0	2020-08-23	ME	08/22 - 08/28
0.0	226.0	4093.0	1669.3600000000001	0.0	0.0	0.0	0.0	0.0	4.0	2020-10-05	ME	10/03 - 10/09
0.0	249.0	5791.0	2445.0199999999995	0.0	0.0	0.0	0.0	0.0	4.0	2020-10-06	ME	10/03 - 10/09
0.0	333.0	9115.0	1955.4099999999999	0.0	0.0	0.0	0.0	0.0	4.0	2020-10-07	ME	10/03 - 10/09
0.0	467.0	8459.0	2130.4	0.0	0.0	0.0	0.0	0.0	3.0	2020-10-12	ME	10/10 - 10/16
0.0	405.0	8899.0	2265.8399999999997	0.0	0.0	0.0	0.0	0.0	3.0	2020-10-13	ME	10/10 - 10/16
0.0	430.0	11315.0	2094.72	0.0	0.0	0.0	0.0	0.0	3.0	2020-10-14	ME	10/10 - 10/16
0.0	327.0	6780.0	1637.8100000000002	0.0	0.0	0.0	0.0	0.0	2.0	2020-10-17	ME	10/17 - 10/23
0.0	355.0	9472.0	2020.8700000000001	0.0	0.0	61.0	159.0	23.0	2.0	2020-10-20	ME	10/17 - 10/23
0.0	178.0	6490.0	1377.66	0.0	0.0	39.0	75.0	7.0	2.0	2020-10-21	ME	10/17 - 10/23
0.0	317.0	11698.0	2247.77	0.0	0.0	33.0	167.0	5.0	1.0	2020-10-27	ME	10/24 - 11/03
0.0	210.0	10704.0	2341.2900000000004	0.0	0.0	19.0	101.0	6.0	1.0	2020-10-28	ME	10/24 - 11/03
0.0	372.0	22140.0	8257.8	0.0	0.0	0.0	225.0	5.0	1.0	2020-11-01	ME	10/24 - 11/03
0.0	365.0	15818.0	40806.119999999995	0.0	0.0	0.0	97.0	1.0	1.0	2020-11-03	ME	10/24 - 11/03
2955.0	3979.0	241594.0	40324.1	64.0	32.0	0.0	0.0	0.0	10.0	2020-08-24	MI	08/22 - 08/28
2795.0	3862.0	275640.0	40131.84	49.0	38.0	0.0	0.0	0.0	10.0	2020-08-25	MI	08/22 - 08/28
2885.0	26663.0	347615.0	80137.2	52.0	43.0	0.0	0.0	0.0	10.0	2020-08-26	MI	08/22 - 08/28
3236.0	4422.0	330257.0	102086.0	41.0	39.0	0.0	0.0	0.0	7.0	2020-09-15	MI	09/12 - 09/18
2429.0	3254.0	335675.0	99520.28	29.0	29.0	0.0	0.0	0.0	7.0	2020-09-16	MI	09/12 - 09/18
1234.0	1985.0	280639.0	35097.14	16.0	10.0	0.0	0.0	0.0	5.0	2020-09-26	MI	09/26 - 10/02
