state	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
AL	0.01931770583	0.02320244578	0.02343997425																	
AZ	0.03144480308	0.06021601957	0.066922947	0.06913964995	0.070457374	0.07119056718	0.07161476069	0.07185760174	0.07203584085	0.07212301456	0.07217282811	0.07219462154	0.07221252328	0.07221952831	0.07222264166	0.07222497667	0.07222731168	0.07222809002	0.07222964669	0.07223042503
CO	0.02625304126	0.0646200361	0.0738294549	0.07638390446	0.07717871515	0.07746096089	0.07755643868	0.07758575203	0.07759580233											
FL	0.01334676831	0.02307860793	0.02357331898	0.02371627186	0.02375062964	0.02376003712														
GA	0.01099898397	0.01915074181	0.02903513563	0.0349533738	0.03783221513	0.03971238863	0.04096521772	0.04167996881	0.04197380403	0.04206988939	0.04209902495	0.04211328278	0.04212196146	0.0421269207	0.04213126004	0.04213497947	0.04213745909	0.04213869891	0.04213931881	
IA	0.02045569805	0.03938389964	0.04335751616	0.04531167912	0.04608605605	0.04623941305														
KS	0.02141827558	0.03337016639	0.03843688642	0.04095719535	0.04222750066	0.04281624947	0.04302796702	0.04310917375	0.04313237567	0.04314687688	0.04314687688									
KY	0.02054104626	0.06336292698	0.06764073573	0.0691834541	0.06967712397	0.06979058842														
ME	0.0224655008	0.08417725475	0.08838123369	0.08939706503	0.08968227921	0.08971744261														
MI	0.01282145205	0.02910505988	0.0372307262	0.03913547542	0.03963702181	0.03974819195	0.03978763942	0.03979122555												
MN	0.02123167966	0.02844863396																		
MT	0.02507840044	0.03802177682	0.04613451762	0.05123785037	0.05558152671	0.05835719434	0.06056798925	0.06212625879	0.06329496095	0.06394748632	0.06455131576	0.0649701007	0.06510644929	0.06515514521						
NC	0.0190675301	0.0411385362	0.04369796869	0.04512740179	0.04608268671	0.04672402318	0.04717344254	0.04744492194	0.04758146801	0.0476449028	0.04766855645	0.0476733947	0.04767769536							
NE	0.02678737693	0.03717585531	0.04203332079	0.0437330375	0.04420452069	0.0442599893	0.04426395135	0.04426791339												
NH	0.01423494983	0.02161789298	0.02430602007	0.02486204013	0.02501672241	0.02502090301														
NV	0.03148362968	0.0402633529	0.0447133496	0.04616435114	0.04669198807	0.0469170097	0.04707607671	0.04712651259	0.04718082816	0.04719246721	0.04721186562	0.04721962499	0.04721962499	0.04721962499						
PA	0.02208814722	0.03075489438	0.03278017917	0.03311131574	0.03316282587	0.0331748672	0.03317921546	0.03318055339	0.03318122235											
SC	0.01978470214	0.02709736356	0.02982576473	0.03008980355	0.03010801312															
TX	0.01013304764	0.01943175126	0.02361193571	0.02520323532	0.02571593367	0.02588643006	0.02594447138	0.02594930816												
WI	0.02341124594	0.03724576001	0.04435080529	0.04803726168	0.05003783863	0.05093416453	0.05118049025	0.05122357384												
Avg	0.01856738494	0.03357222108	0.03750752897	0.03898124095	0.03963662853	0.03997131786	0.04015916668	0.04025863928	0.04030771769	0.04032798063	0.04033771736	0.04034236644	0.04034495413	0.04034596289	0.04034653306	0.04034692779	0.0403472348	0.04034736638	0.04034749796	0.04034758568
