"state","age","sex","race",counts
"AZ","25-34","M","Asian",641
"AZ","25-34","M","White",58788
"AZ","25-34","M","Latino",36956
"AZ","25-34","M","Na-Am",2851
"AZ","25-34","M","Unk",5346
"AZ","25-34","U","Black",1444
"AZ","25-34","U","Asian",435
"AZ","25-34","U","White",13805
"AZ","25-34","U","Latino",5840
"AZ","25-34","U","Na-Am",1326
"AZ","25-34","U","Unk",2135
"AZ","35-49","F","Black",2675
"AZ","35-49","F","Asian",1050
"AZ","35-49","F","White",89449
"AZ","35-49","F","Latino",44163
"AZ","35-49","F","Na-Am",4134
"AZ","35-49","F","Unk",8592
"AZ","35-49","M","Black",1807
"AZ","35-49","M","Asian",777
"AZ","35-49","M","White",64081
"AZ","35-49","M","Latino",32652
"AZ","35-49","M","Na-Am",3149
"AZ","35-49","M","Unk",6182
"AZ","35-49","U","Black",1060
"AZ","35-49","U","Asian",620
"AZ","35-49","U","White",8509
"AZ","35-49","U","Latino",2796
"AZ","35-49","U","Na-Am",751
"AZ","35-49","U","Unk",1855
"AZ","50-64","F","Black",2239
"AZ","50-64","F","Asian",803
"AZ","50-64","F","White",100658
"AZ","50-64","F","Latino",33886
"AZ","50-64","F","Na-Am",4102
"AZ","50-64","F","Unk",7357
"AZ","50-64","M","Black",1525
"AZ","50-64","M","Asian",699
"AZ","50-64","M","White",65336
"AZ","50-64","M","Latino",28770
"AZ","50-64","M","Na-Am",2944
"AZ","50-64","M","Unk",5384
"AZ","50-64","U","Black",407
"AZ","50-64","U","Asian",422
"AZ","50-64","U","White",4461
"AZ","50-64","U","Latino",1312
"AZ","50-64","U","Na-Am",217
"AZ","50-64","U","Unk",1045
"AZ","65+","F","Black",1546
"AZ","65+","F","Asian",453
"AZ","65+","F","White",123868
"AZ","65+","F","Latino",24145
"AZ","65+","F","Na-Am",2630
"AZ","65+","F","Unk",5740
"AZ","65+","M","Black",1015
"AZ","65+","M","Asian",401
"AZ","65+","M","White",79899
"AZ","65+","M","Latino",21350
"AZ","65+","M","Na-Am",1763
"AZ","65+","M","Unk",4300
"AZ","65+","U","Black",193
"AZ","65+","U","Asian",232
"AZ","65+","U","White",3423
"AZ","65+","U","Latino",835
"AZ","65+","U","Na-Am",89
"AZ","65+","U","Unk",670
"AZ","Unk","F","Black",47
"AZ","Unk","F","Asian",47
"AZ","Unk","F","White",2103
"AZ","Unk","F","Latino",2104
"AZ","Unk","F","Na-Am",31
"AZ","Unk","F","Unk",244
"AZ","Unk","M","Black",37
"AZ","Unk","M","Asian",36
"AZ","Unk","M","White",1433
"AZ","Unk","M","Latino",1695
"AZ","Unk","M","Na-Am",28
"AZ","Unk","M","Unk",167
"AZ","Unk","U","Black",119
"AZ","Unk","U","Asian",66
"AZ","Unk","U","White",1554
"AZ","Unk","U","Latino",1200
"AZ","Unk","U","Na-Am",51
"AZ","Unk","U","Unk",197
"CO","18-24","F","Black",1819
"CO","18-24","F","Asian",698
"CO","18-24","F","White",47105
"CO","18-24","F","Latino",15170
"CO","18-24","F","Na-Am",89
"CO","18-24","F","Unk",4132
"CO","18-24","M","Black",1354
"CO","18-24","M","Asian",501
"CO","18-24","M","White",34052
"CO","18-24","M","Latino",11314
"CO","18-24","M","Na-Am",49
"CO","18-24","M","Unk",2887
"CO","18-24","U","Black",124
"CO","18-24","U","Asian",23
"CO","18-24","U","White",1002
"CO","18-24","U","Latino",326
"CO","18-24","U","Na-Am",4
"CO","18-24","U","Unk",107
"CO","25-34","F","Black",4041
"CO","25-34","F","Asian",961
"CO","25-34","F","White",103343
"CO","25-34","F","Latino",23480
"CO","25-34","F","Na-Am",215
"CO","25-34","F","Unk",7007
"CO","25-34","M","Black",3010
"CO","25-34","M","Asian",768
"CO","25-34","M","White",84936
"CO","25-34","M","Latino",16642
"CO","25-34","M","Na-Am",134
"CO","25-34","M","Unk",5009
"CO","25-34","U","Black",51
"CO","25-34","U","Asian",20
"CO","25-34","U","White",362
"CO","25-34","U","Latino",76
"CO","25-34","U","Na-Am",2
"CO","25-34","U","Unk",55
"CO","35-49","F","Black",4917
"CO","35-49","F","Asian",1302
"CO","35-49","F","White",129214
"CO","35-49","F","Latino",24755
"CO","35-49","F","Na-Am",190
"CO","35-49","F","Unk",8588
"CO","35-49","M","Black",3799
"CO","35-49","M","Asian",960
"CO","35-49","M","White",104187
"CO","35-49","M","Latino",17426
"CO","35-49","M","Na-Am",159
"CO","35-49","M","Unk",6196
"CO","35-49","U","Black",45
"CO","35-49","U","Asian",17
"CO","35-49","U","White",219
"CO","35-49","U","Latino",47
"CO","35-49","U","Na-Am",1
"CO","35-49","U","Unk",56
"CO","50-64","F","Black",3951
"CO","50-64","F","Asian",938
"CO","50-64","F","White",119385
"CO","50-64","F","Latino",18916
"CO","50-64","F","Na-Am",163
"CO","50-64","F","Unk",6257
"CO","50-64","M","Black",3226
"CO","50-64","M","Asian",795
"CO","50-64","M","White",84790
"CO","50-64","M","Latino",15270
"CO","50-64","M","Na-Am",116
"CO","50-64","M","Unk",4567
"CO","50-64","U","Black",24
"CO","50-64","U","Asian",11
"CO","50-64","U","White",100
"CO","50-64","U","Latino",24
"CO","50-64","U","Unk",23
"CO","65+","F","Black",2904
"CO","65+","F","Asian",570
"CO","65+","F","White",119624
"CO","65+","F","Latino",14674
"CO","65+","F","Na-Am",111
"CO","65+","F","Unk",4554
"CO","65+","M","Black",1872
"CO","65+","M","Asian",464
"CO","65+","M","White",80366
"CO","65+","M","Latino",11636
"CO","65+","M","Na-Am",73
"CO","65+","M","Unk",3336
"CO","65+","U","Black",10
"CO","65+","U","Asian",14
"CO","65+","U","White",51
"CO","65+","U","Latino",26
"CO","65+","U","Unk",20
"CO","Unk","F","Black",125
"CO","Unk","F","Asian",46
"CO","Unk","F","White",2740
"CO","Unk","F","Latino",958
"CO","Unk","F","Na-Am",6
"CO","Unk","F","Unk",213
"CO","Unk","M","Black",80
"CO","Unk","M","Asian",35
"CO","Unk","M","White",2119
"CO","Unk","M","Latino",759
"CO","Unk","M","Unk",167
"CO","Unk","U","Black",17
"CO","Unk","U","Asian",2
"CO","Unk","U","White",103
"CO","Unk","U","Latino",54
"CO","Unk","U","Unk",10
"FL","18-24","F","Black",85879
"FL","18-24","F","Asian",8728
"FL","18-24","F","White",94338
"FL","18-24","F","Latino",79651
"FL","18-24","F","Na-Am",958
"FL","18-24","F","Unk",15587
"FL","18-24","M","Black",70514
"FL","18-24","M","Asian",6253
"FL","18-24","M","White",62508
"FL","18-24","M","Latino",60557
"FL","18-24","M","Na-Am",810
"FL","18-24","M","Unk",11417
"FL","18-24","U","Black",4153
"FL","18-24","U","Asian",410
"FL","18-24","U","White",2534
"FL","18-24","U","Latino",1590
"FL","18-24","U","Na-Am",31
"FL","18-24","U","Unk",949
"FL","25-34","F","Black",178876
"FL","25-34","F","Asian",12221
"FL","25-34","F","White",187053
"FL","25-34","F","Latino",136987
"FL","25-34","F","Na-Am",1716
"FL","25-34","F","Unk",19642
"FL","25-34","M","Black",125736
"FL","25-34","M","Asian",9557
"FL","25-34","M","White",133513
"FL","25-34","M","Latino",99188
"FL","25-34","M","Na-Am",1221
"FL","25-34","M","Unk",14339
"FL","25-34","U","Black",1912
"FL","25-34","U","Asian",274
"FL","25-34","U","White",923
"FL","25-34","U","Latino",1051
"FL","25-34","U","Na-Am",17
"FL","25-34","U","Unk",536
"FL","35-49","F","Black",218009
"FL","35-49","F","Asian",16573
"FL","35-49","F","White",224922
"FL","35-49","F","Latino",156530
"FL","35-49","F","Na-Am",1930
"FL","35-49","F","Unk",19770
"FL","35-49","M","Black",137484
"FL","35-49","M","Asian",10819
"FL","35-49","M","White",150222
"FL","35-49","M","Latino",101989
"FL","35-49","M","Na-Am",1260
"FL","35-49","M","Unk",13847
"FL","35-49","U","Black",1106
"FL","35-49","U","Asian",280
"FL","35-49","U","White",630
"FL","35-49","U","Latino",873
"FL","35-49","U","Na-Am",9
"FL","35-49","U","Unk",371
"FL","50-64","F","Black",203946
"FL","50-64","F","Asian",13451
"FL","50-64","F","White",306944
"FL","50-64","F","Latino",128116
"FL","50-64","F","Na-Am",2329
"FL","50-64","F","Unk",16634
"FL","50-64","M","Black",138796
"FL","50-64","M","Asian",9470
"FL","50-64","M","White",200764
"FL","50-64","M","Latino",87789
"FL","50-64","M","Na-Am",1526
"FL","50-64","M","Unk",11806
"FL","50-64","U","Black",560
"FL","50-64","U","Asian",194
"FL","50-64","U","White",354
"FL","50-64","U","Latino",331
"FL","50-64","U","Na-Am",5
"FL","50-64","U","Unk",220
"FL","65+","F","Black",147791
"FL","65+","F","Asian",9066
"FL","65+","F","White",461901
"FL","65+","F","Latino",99045
"FL","65+","F","Na-Am",2207
"FL","65+","F","Unk",14080
"FL","65+","M","Black",96944
"FL","65+","M","Asian",6827
"FL","65+","M","White",292006
"FL","65+","M","Latino",64291
"FL","65+","M","Na-Am",1364
"FL","65+","M","Unk",9597
"FL","65+","U","Black",300
"FL","65+","U","Asian",103
"FL","65+","U","White",237
"FL","65+","U","Latino",217
"FL","65+","U","Na-Am",4
"FL","65+","U","Unk",127
"FL","Unk","F","Black",4589
"FL","Unk","F","Asian",693
"FL","Unk","F","White",5198
"FL","Unk","F","Latino",4404
"FL","Unk","F","Na-Am",47
"FL","Unk","F","Unk",985
"FL","Unk","M","Black",3737
"FL","Unk","M","Asian",423
"FL","Unk","M","White",3218
"FL","Unk","M","Latino",3076
"FL","Unk","M","Na-Am",43
"FL","Unk","M","Unk",684
"FL","Unk","U","Black",397
"FL","Unk","U","Asian",33
"FL","Unk","U","White",213
"FL","Unk","U","Latino",117
"FL","Unk","U","Na-Am",4
"FL","Unk","U","Unk",87
"GA","18-24","F","Black",44084
"GA","18-24","F","Asian",1936
"GA","18-24","F","White",16292
"GA","18-24","F","Latino",4385
"GA","18-24","F","Na-Am",169
"GA","18-24","F","Unk",2650
"GA","18-24","M","Black",38519
"GA","18-24","M","Asian",1275
"GA","18-24","M","White",10634
"GA","18-24","M","Latino",3122
"GA","18-24","M","Na-Am",149
"GA","18-24","M","Unk",1915
"GA","18-24","U","Black",148
"GA","18-24","U","Asian",12
"GA","18-24","U","White",25
"GA","18-24","U","Latino",4
"GA","18-24","U","Na-Am",1
"GA","18-24","U","Unk",7
"GA","25-34","F","Black",108379
"GA","25-34","F","Asian",3643
"GA","25-34","F","White",47273
"GA","25-34","F","Latino",6518
"GA","25-34","F","Na-Am",328
"GA","25-34","F","Unk",6137
"GA","25-34","M","Black",78109
"GA","25-34","M","Asian",2674
"GA","25-34","M","White",32703
"GA","25-34","M","Latino",4179
"GA","25-34","M","Na-Am",319
"GA","25-34","M","Unk",4094
"GA","25-34","U","Black",64
"GA","25-34","U","Asian",11
"GA","25-34","U","White",10
"GA","25-34","U","Latino",1
"GA","25-34","U","Unk",8
"GA","35-49","F","Black",179294
"GA","35-49","F","Asian",4903
"GA","35-49","F","White",58578
"GA","35-49","F","Latino",6224
"GA","35-49","F","Na-Am",408
"GA","35-49","F","Unk",7058
"GA","35-49","M","Black",108116
"GA","35-49","M","Asian",3163
"GA","35-49","M","White",37200
"GA","35-49","M","Latino",3388
"GA","35-49","M","Na-Am",306
"GA","35-49","M","Unk",3899
"GA","35-49","U","Black",40
"GA","35-49","U","Asian",4
"GA","35-49","U","White",12
"GA","35-49","U","Latino",1
"GA","35-49","U","Unk",2
"GA","50-64","F","Black",182630
"GA","50-64","F","Asian",3797
"GA","50-64","F","White",63604
"GA","50-64","F","Latino",4297
"GA","50-64","F","Na-Am",349
"GA","50-64","F","Unk",4706
"GA","50-64","M","Black",121050
"GA","50-64","M","Asian",2859
"GA","50-64","M","White",41356
"GA","50-64","M","Latino",3313
"GA","50-64","M","Na-Am",243
"GA","50-64","M","Unk",2875
"GA","50-64","U","Black",28
"GA","50-64","U","Asian",9
"GA","50-64","U","White",7
"GA","50-64","U","Latino",1
"GA","50-64","U","Na-Am",1
"GA","50-64","U","Unk",1
"GA","65+","F","Black",125870
"GA","65+","F","Asian",2451
"GA","65+","F","White",66382
"GA","65+","F","Latino",1704
"GA","65+","F","Na-Am",177
"GA","65+","F","Unk",2359
"GA","65+","M","Black",75066
"GA","65+","M","Asian",2026
"GA","65+","M","White",40213
"GA","65+","M","Latino",1370
"GA","65+","M","Na-Am",103
"GA","65+","M","Unk",1429
"GA","65+","U","Black",16
"GA","65+","U","Asian",2
"GA","65+","U","White",2
"GA","65+","U","Latino",1
"GA","65+","U","Unk",5
"GA","Unk","F","Black",2058
"GA","Unk","F","Asian",113
"GA","Unk","F","White",381
"GA","Unk","F","Latino",254
"GA","Unk","F","Na-Am",9
"GA","Unk","F","Unk",162
"GA","Unk","M","Black",1786
"GA","Unk","M","Asian",67
"GA","Unk","M","White",266
"GA","Unk","M","Latino",202
"GA","Unk","M","Na-Am",8
"GA","Unk","M","Unk",115
"GA","Unk","U","Black",17
"GA","Unk","U","Latino",1
"GA","Unk","U","Unk",1
"IA","18-24","F","Black",801
"IA","18-24","F","Asian",287
"IA","18-24","F","White",38939
"IA","18-24","F","Latino",1607
"IA","18-24","F","Na-Am",40
"IA","18-24","F","Unk",2584
"IA","18-24","M","Black",625
"IA","18-24","M","Asian",269
"IA","18-24","M","White",28408
"IA","18-24","M","Latino",1317
"IA","18-24","M","Na-Am",27
"IA","18-24","M","Unk",1939
"IA","25-34","F","Black",1636
"IA","25-34","F","Asian",367
"IA","25-34","F","White",65244
"IA","25-34","F","Latino",2102
"IA","25-34","F","Na-Am",65
"IA","25-34","F","Unk",3591
"IA","25-34","M","Black",1037
"IA","25-34","M","Asian",290
"IA","25-34","M","White",46507
"IA","25-34","M","Latino",1531
"IA","25-34","M","Na-Am",55
"IA","25-34","M","Unk",2392
"IA","35-49","F","Black",1632
"IA","35-49","F","Asian",406
"IA","35-49","F","White",76604
"IA","35-49","F","Latino",1796
"IA","35-49","F","Na-Am",65
"IA","35-49","F","Unk",3331
"IA","35-49","M","Black",978
"IA","35-49","M","Asian",311
"IA","35-49","M","White",52010
"IA","35-49","M","Latino",1159
"IA","35-49","M","Na-Am",53
"IA","35-49","M","Unk",2043
"IA","50-64","F","Black",1327
"IA","50-64","F","Asian",389
"IA","50-64","F","White",81346
"IA","50-64","F","Latino",1119
"IA","50-64","F","Na-Am",57
"IA","50-64","F","Unk",2038
"IA","50-64","M","Black",966
"IA","50-64","M","Asian",311
"IA","50-64","M","White",54332
"IA","50-64","M","Latino",1177
"IA","50-64","M","Na-Am",55
"IA","50-64","M","Unk",1445
"IA","65+","F","Black",894
"IA","65+","F","Asian",250
"IA","65+","F","White",90224
"IA","65+","F","Latino",443
"IA","65+","F","Na-Am",41
"IA","65+","F","Unk",1175
"IA","65+","M","Black",587
"IA","65+","M","Asian",182
"IA","65+","M","White",59043
"IA","65+","M","Latino",506
"IA","65+","M","Na-Am",33
"IA","65+","M","Unk",832
"IA","Unk","F","Black",48
"IA","Unk","F","Asian",31
"IA","Unk","F","White",3091
"IA","Unk","F","Latino",123
"IA","Unk","F","Na-Am",2
"IA","Unk","F","Unk",165
"IA","Unk","M","Black",35
"IA","Unk","M","Asian",29
"IA","Unk","M","White",2134
"IA","Unk","M","Latino",90
"IA","Unk","M","Na-Am",2
"IA","Unk","M","Unk",122
"KS","18-24","F","Black",1144
"KS","18-24","F","Asian",267
"KS","18-24","F","White",17276
"KS","18-24","F","Latino",2448
"KS","18-24","F","Na-Am",29
"KS","18-24","F","Unk",1641
"KS","18-24","M","Black",938
"KS","18-24","M","Asian",202
"KS","18-24","M","White",11592
"KS","18-24","M","Latino",1631
"KS","18-24","M","Na-Am",23
"KS","18-24","M","Unk",1043
"KS","18-24","U","Black",41
"KS","18-24","U","Asian",6
"KS","18-24","U","White",183
"KS","18-24","U","Latino",22
"KS","18-24","U","Unk",24
"KS","25-34","F","Black",2310
"KS","25-34","F","Asian",228
"KS","25-34","F","White",24251
"KS","25-34","F","Latino",2395
"KS","25-34","F","Na-Am",35
"KS","25-34","F","Unk",1802
"KS","25-34","M","Black",1489
"KS","25-34","M","Asian",178
"KS","25-34","M","White",17452
"KS","25-34","M","Latino",1572
"KS","25-34","M","Na-Am",29
"KS","25-34","M","Unk",1154
"KS","25-34","U","Black",7
"KS","25-34","U","Asian",2
"KS","25-34","U","White",31
"KS","25-34","U","Latino",4
"KS","25-34","U","Unk",12
"KS","35-49","F","Black",3407
"KS","35-49","F","Asian",369
"KS","35-49","F","White",34627
"KS","35-49","F","Latino",2595
"KS","35-49","F","Na-Am",57
"KS","35-49","F","Unk",2204
"KS","35-49","M","Black",1899
"KS","35-49","M","Asian",232
"KS","35-49","M","White",22436
"KS","35-49","M","Latino",1678
"KS","35-49","M","Na-Am",30
"KS","35-49","M","Unk",1359
"KS","35-49","U","Black",5
"KS","35-49","U","Asian",1
"KS","35-49","U","White",13
"KS","35-49","U","Latino",4
"KS","35-49","U","Unk",8
"KS","50-64","F","Black",3781
"KS","50-64","F","Asian",322
"KS","50-64","F","White",42173
"KS","50-64","F","Latino",2080
"KS","50-64","F","Na-Am",59
"KS","50-64","F","Unk",1754
"KS","50-64","M","Black",2504
"KS","50-64","M","Asian",257
"KS","50-64","M","White",27690
"KS","50-64","M","Latino",1894
"KS","50-64","M","Na-Am",45
"KS","50-64","M","Unk",1288
"KS","50-64","U","Black",2
"KS","50-64","U","Asian",1
"KS","50-64","U","White",5
"KS","50-64","U","Unk",1
"KS","65+","F","Black",3294
"KS","65+","F","Asian",166
"KS","65+","F","White",49863
"KS","65+","F","Latino",1424
"KS","65+","F","Na-Am",58
"KS","65+","F","Unk",1272
"KS","65+","M","Black",1894
"KS","65+","M","Asian",160
"KS","65+","M","White",31921
"KS","65+","M","Latino",1262
"KS","65+","M","Na-Am",21
"KS","65+","M","Unk",1002
"KS","65+","U","Black",1
"KS","65+","U","White",2
"KS","65+","U","Unk",1
"KS","Unk","F","Black",61
"KS","Unk","F","Asian",28
"KS","Unk","F","White",1224
"KS","Unk","F","Latino",166
"KS","Unk","F","Na-Am",2
"KS","Unk","F","Unk",90
"KS","Unk","M","Black",45
"KS","Unk","M","Asian",16
"KS","Unk","M","White",610
"KS","Unk","M","Latino",100
"KS","Unk","M","Na-Am",1
"KS","Unk","M","Unk",54
"KS","Unk","U","Black",9
"KS","Unk","U","White",26
"KS","Unk","U","Latino",10
"KS","Unk","U","Unk",6
"KY","18-24","F","Black",1369
"KY","18-24","F","Asian",86
"KY","18-24","F","White",12872
"KY","18-24","F","Latino",89
"KY","18-24","F","Na-Am",1
"KY","18-24","F","Unk",486
"KY","18-24","M","Black",1121
"KY","18-24","M","Asian",71
"KY","18-24","M","White",9204
"KY","18-24","M","Latino",83
"KY","18-24","M","Na-Am",1
"KY","18-24","M","Unk",393
"KY","18-24","U","Black",2
"KY","18-24","U","Asian",1
"KY","18-24","U","White",3
"KY","25-34","F","Black",3802
"KY","25-34","F","Asian",77
"KY","25-34","F","White",26728
"KY","25-34","F","Latino",160
"KY","25-34","F","Na-Am",5
"KY","25-34","F","Unk",855
"KY","25-34","M","Black",2723
"KY","25-34","M","Asian",110
"KY","25-34","M","White",22070
"KY","25-34","M","Latino",103
"KY","25-34","M","Na-Am",1
"KY","25-34","M","Unk",588
"KY","25-34","U","Black",1
"KY","35-49","F","Black",6656
"KY","35-49","F","Asian",170
"KY","35-49","F","White",52553
"KY","35-49","F","Latino",247
"KY","35-49","F","Na-Am",6
"KY","35-49","F","Unk",1453
"KY","35-49","M","Black",3879
"KY","35-49","M","Asian",133
"KY","35-49","M","White",37240
"KY","35-49","M","Latino",151
"KY","35-49","M","Na-Am",8
"KY","35-49","M","Unk",895
"KY","35-49","U","Black",1
"KY","50-64","F","Black",7836
"KY","50-64","F","Asian",154
"KY","50-64","F","White",71921
"KY","50-64","F","Latino",163
"KY","50-64","F","Na-Am",10
"KY","50-64","F","Unk",1180
"KY","50-64","M","Black",4917
"KY","50-64","M","Asian",173
"KY","50-64","M","White",48298
"KY","50-64","M","Latino",130
"KY","50-64","M","Na-Am",9
"KY","50-64","M","Unk",793
"KY","65+","F","Black",7906
"KY","65+","F","Asian",85
"KY","65+","F","White",92578
"KY","65+","F","Latino",82
"KY","65+","F","Na-Am",6
"KY","65+","F","Unk",820
"KY","65+","M","Black",4104
"KY","65+","M","Asian",86
"KY","65+","M","White",57749
"KY","65+","M","Latino",51
"KY","65+","M","Na-Am",8
"KY","65+","M","Unk",478
"KY","65+","U","Black",2
"KY","65+","U","White",1
"KY","Unk","F","Black",92
"KY","Unk","F","Asian",13
"KY","Unk","F","White",1241
"KY","Unk","F","Latino",6
"KY","Unk","F","Unk",44
"KY","Unk","M","Black",78
"KY","Unk","M","Asian",8
"KY","Unk","M","White",681
"KY","Unk","M","Latino",4
"KY","Unk","M","Unk",32
"KY","Unk","U","White",7
"KY","Unk","U","Unk",1
"ME","18-24","F","Black",21
"ME","18-24","F","Asian",8
"ME","18-24","F","White",6712
"ME","18-24","F","Latino",9
"ME","18-24","F","Na-Am",12
"ME","18-24","F","Unk",132
"ME","18-24","M","Black",27
"ME","18-24","M","Asian",6
"ME","18-24","M","White",5068
"ME","18-24","M","Latino",8
"ME","18-24","M","Na-Am",6
"ME","18-24","M","Unk",129
"ME","18-24","U","Black",57
"ME","18-24","U","Asian",14
"ME","18-24","U","White",2183
"ME","18-24","U","Latino",2
"ME","18-24","U","Na-Am",7
"ME","18-24","U","Unk",89
"ME","25-34","F","Black",80
"ME","25-34","F","Asian",39
"ME","25-34","F","White",20480
"ME","25-34","F","Latino",29
"ME","25-34","F","Na-Am",43
"ME","25-34","F","Unk",448
"ME","25-34","M","Black",89
"ME","25-34","M","Asian",31
"ME","25-34","M","White",15250
"ME","25-34","M","Latino",23
"ME","25-34","M","Na-Am",41
"ME","25-34","M","Unk",330
"ME","25-34","U","Black",79
"ME","25-34","U","Asian",16
"ME","25-34","U","White",1373
"ME","25-34","U","Latino",11
"ME","25-34","U","Na-Am",7
"ME","25-34","U","Unk",126
"ME","35-49","F","Black",118
"ME","35-49","F","Asian",32
"ME","35-49","F","White",29579
"ME","35-49","F","Latino",29
"ME","35-49","F","Na-Am",52
"ME","35-49","F","Unk",562
"ME","35-49","M","Black",94
"ME","35-49","M","Asian",31
"ME","35-49","M","White",19554
"ME","35-49","M","Latino",20
"ME","35-49","M","Na-Am",66
"ME","35-49","M","Unk",373
"ME","35-49","U","Black",55
"ME","35-49","U","Asian",24
"ME","35-49","U","White",792
"ME","35-49","U","Latino",3
"ME","35-49","U","Na-Am",6
"ME","35-49","U","Unk",111
"ME","50-64","F","Black",98
"ME","50-64","F","Asian",28
"ME","50-64","F","White",39404
"ME","50-64","F","Latino",19
"ME","50-64","F","Na-Am",58
"ME","50-64","F","Unk",397
"ME","50-64","M","Black",71
"ME","50-64","M","Asian",22
"ME","50-64","M","White",25517
"ME","50-64","M","Latino",17
"ME","50-64","M","Na-Am",42
"ME","50-64","M","Unk",275
"ME","50-64","U","Black",35
"ME","50-64","U","Asian",14
"ME","50-64","U","White",414
"ME","50-64","U","Latino",1
"ME","50-64","U","Na-Am",1
"ME","50-64","U","Unk",71
"ME","65+","F","Black",58
"ME","65+","F","Asian",22
"ME","65+","F","White",48133
"ME","65+","F","Latino",7
"ME","65+","F","Na-Am",34
"ME","65+","F","Unk",363
"ME","65+","M","Black",35
"ME","65+","M","Asian",23
"ME","65+","M","White",31177
"ME","65+","M","Latino",10
"ME","65+","M","Na-Am",23
"ME","65+","M","Unk",234
"ME","65+","U","Black",17
"ME","65+","U","Asian",7
"ME","65+","U","White",413
"ME","65+","U","Unk",23
"ME","Unk","F","White",477
"ME","Unk","F","Unk",4
"ME","Unk","M","Black",1
"ME","Unk","M","White",324
"ME","Unk","M","Unk",6
"ME","Unk","U","Black",2
"ME","Unk","U","White",179
"ME","Unk","U","Latino",1
"ME","Unk","U","Na-Am",1
"ME","Unk","U","Unk",4
