"state","age","sex","race",counts
"AL","18-24","F","Black",36535
"AL","18-24","F","Asian",725
"AL","18-24","F","White",11076
"AL","18-24","F","Latino",1643
"AL","18-24","F","Na-Am",142
"AL","18-24","F","Unk",858
"AL","18-24","M","Black",30219
"AL","18-24","M","Asian",477
"AL","18-24","M","White",6380
"AL","18-24","M","Latino",1062
"AL","18-24","M","Na-Am",86
"AL","18-24","M","Unk",461
"AL","18-24","U","Black",75
"AL","18-24","U","Asian",1
"AL","18-24","U","White",11
"AL","18-24","U","Na-Am",2
"AL","18-24","U","Unk",3
"AL","25-34","F","Black",63796
"AL","25-34","F","Asian",875
"AL","25-34","F","White",20411
"AL","25-34","F","Latino",1947
"AL","25-34","F","Na-Am",216
"AL","25-34","F","Unk",1284
"AL","25-34","M","Black",48408
"AL","25-34","M","Asian",624
"AL","25-34","M","White",11409
"AL","25-34","M","Latino",1060
"AL","25-34","M","Na-Am",125
"AL","25-34","M","Unk",801
"AL","25-34","U","Black",56
"AL","25-34","U","Asian",2
"AL","25-34","U","White",6
"AL","25-34","U","Latino",1
"AL","25-34","U","Unk",4
"AL","35-49","F","Black",88243
"AL","35-49","F","Asian",1510
"AL","35-49","F","White",18612
"AL","35-49","F","Latino",1542
"AL","35-49","F","Na-Am",281
"AL","35-49","F","Unk",1351
"AL","35-49","M","Black",59530
"AL","35-49","M","Asian",827
"AL","35-49","M","White",9938
"AL","35-49","M","Latino",856
"AL","35-49","M","Na-Am",119
"AL","35-49","M","Unk",853
"AL","35-49","U","Black",29
"AL","35-49","U","Asian",4
"AL","35-49","U","White",5
"AL","35-49","U","Na-Am",1
"AL","35-49","U","Unk",6
"AL","50-64","F","Black",84059
"AL","50-64","F","Asian",1141
"AL","50-64","F","White",17952
"AL","50-64","F","Latino",821
"AL","50-64","F","Na-Am",258
"AL","50-64","F","Unk",810
"AL","50-64","M","Black",58089
"AL","50-64","M","Asian",611
"AL","50-64","M","White",10350
"AL","50-64","M","Latino",579
"AL","50-64","M","Na-Am",103
"AL","50-64","M","Unk",523
"AL","50-64","U","Black",13
"AL","50-64","U","Asian",3
"AL","50-64","U","White",3
"AL","50-64","U","Unk",1
"AL","65+","F","Black",62367
"AL","65+","F","Asian",671
"AL","65+","F","White",20510
"AL","65+","F","Latino",333
"AL","65+","F","Na-Am",144
"AL","65+","F","Unk",634
"AL","65+","M","Black",38168
"AL","65+","M","Asian",356
"AL","65+","M","White",10057
"AL","65+","M","Latino",172
"AL","65+","M","Na-Am",72
"AL","65+","M","Unk",351
"AL","65+","U","Black",8
"AL","65+","U","Asian",1
"AL","65+","U","Unk",1
"AL","Unk","F","Black",1120
"AL","Unk","F","Asian",27
"AL","Unk","F","White",188
"AL","Unk","F","Latino",58
"AL","Unk","F","Na-Am",3
"AL","Unk","F","Unk",32
"AL","Unk","M","Black",899
"AL","Unk","M","Asian",11
"AL","Unk","M","White",95
"AL","Unk","M","Latino",37
"AL","Unk","M","Na-Am",2
"AL","Unk","M","Unk",15
"AL","Unk","U","Black",7
"AZ","18-24","F","Black",856
"AZ","18-24","F","Asian",568
"AZ","18-24","F","White",35618
"AZ","18-24","F","Latino",31459
"AZ","18-24","F","Na-Am",1183
"AZ","18-24","F","Unk",4100
"AZ","18-24","M","Black",777
"AZ","18-24","M","Asian",479
"AZ","18-24","M","White",29664
"AZ","18-24","M","Latino",28932
"AZ","18-24","M","Na-Am",1078
"AZ","18-24","M","Unk",3329
"AZ","18-24","U","Black",1583
"AZ","18-24","U","Asian",643
"AZ","18-24","U","White",22541
"AZ","18-24","U","Latino",12940
"AZ","18-24","U","Na-Am",1447
"AZ","18-24","U","Unk",2796
"AZ","25-34","F","Black",2131
"AZ","25-34","F","Asian",706
"AZ","25-34","F","White",70730
"AZ","25-34","F","Latino",45050
"AZ","25-34","F","Na-Am",3446
"AZ","25-34","F","Unk",6794
"AZ","25-34","M","Black",1611
