"state","age","sex","race",counts
"FL","50-64","F","Asian",13241
"FL","50-64","F","White",299614
"FL","50-64","F","Latino",125204
"FL","50-64","F","Na-Am",2254
"FL","50-64","F","Unk",16304
"FL","50-64","M","Black",135709
"FL","50-64","M","Asian",9319
"FL","50-64","M","White",195854
"FL","50-64","M","Latino",85709
"FL","50-64","M","Na-Am",1478
"FL","50-64","M","Unk",11568
"FL","50-64","U","Black",545
"FL","50-64","U","Asian",190
"FL","50-64","U","White",343
"FL","50-64","U","Latino",324
"FL","50-64","U","Na-Am",5
"FL","50-64","U","Unk",213
"FL","65+","F","Black",144539
"FL","65+","F","Asian",8875
"FL","65+","F","White",447851
"FL","65+","F","Latino",96414
"FL","65+","F","Na-Am",2133
"FL","65+","F","Unk",13765
"FL","65+","M","Black",94584
"FL","65+","M","Asian",6693
"FL","65+","M","White",283177
"FL","65+","M","Latino",62434
"FL","65+","M","Na-Am",1313
"FL","65+","M","Unk",9348
"FL","65+","U","Black",296
"FL","65+","U","Asian",102
"FL","65+","U","White",233
"FL","65+","U","Latino",212
"FL","65+","U","Na-Am",3
"FL","65+","U","Unk",123
"FL","Unk","F","Black",4500
"FL","Unk","F","Asian",680
"FL","Unk","F","White",5110
"FL","Unk","F","Latino",4325
"FL","Unk","F","Na-Am",45
"FL","Unk","F","Unk",967
"FL","Unk","M","Black",3676
"FL","Unk","M","Asian",419
"FL","Unk","M","White",3160
"FL","Unk","M","Latino",3030
"FL","Unk","M","Na-Am",42
"FL","Unk","M","Unk",673
"FL","Unk","U","Black",391
"FL","Unk","U","Asian",32
"FL","Unk","U","White",204
"FL","Unk","U","Latino",116
"FL","Unk","U","Na-Am",4
"FL","Unk","U","Unk",86
"GA","18-24","F","Black",45010
"GA","18-24","F","Asian",2023
"GA","18-24","F","White",16598
"GA","18-24","F","Latino",4624
"GA","18-24","F","Na-Am",173
"GA","18-24","F","Unk",2753
"GA","18-24","M","Black",40126
"GA","18-24","M","Asian",1394
"GA","18-24","M","White",11133
"GA","18-24","M","Latino",3390
"GA","18-24","M","Na-Am",168
"GA","18-24","M","Unk",2033
"GA","18-24","U","Black",153
"GA","18-24","U","Asian",13
"GA","18-24","U","White",24
"GA","18-24","U","Latino",5
