State	CountyName	counts
CO	Adams	32767
CO	Alamosa	900
CO	Arapahoe	42033
CO	Archuleta	529
CO	Baca	32
CO	Bent	204
CO	Boulder	32475
CO	Broomfield	4603
CO	Chaffee	1226
CO	Cheyenne	46
CO	Clear Creek	732
CO	Conejos	512
CO	Costilla	299
CO	Crowley	120
CO	Custer	165
CO	Delta	954
CO	Denver	68588
CO	Deuel	1
CO	Dolores	73
CO	Douglas	14673
CO	Eagle	2722
CO	Elbert	779
CO	El Paso	19681
CO	Fremont	1543
CO	Garfield	2339
CO	Gilpin	463
CO	Grand	566
CO	Gunnison	1216
CO	Hinsdale	32
CO	Huerfano	572
CO	Jackson	18
CO	Jefferson	45422
CO	Kiowa	42
CO	Kit Carson	150
CO	Lake	547
CO	La Plata	3244
CO	Larimer	18415
CO	Las Animas	746
CO	Lincoln	139
CO	Logan	503
CO	Mesa	4403
CO	Mineral	83
CO	Moffat	216
CO	Montezuma	785
CO	Montrose	1168
CO	Morgan	861
CO	Navajo	1
CO	Otero	1045
CO	Ouray	338
CO	Park	566
CO	Phillips	126
CO	Pitkin	1612
CO	Prowers	370
CO	Pueblo	9937
CO	Rio Blanco	101
CO	Rio Grande	550
CO	Routt	1489
CO	Saguache	435
CO	San Juan	44
CO	San Miguel	691
CO	Sedgwick	69
CO	Summit	1670
CO	Teller	803
CO	Washington	75
CO	Weld	10810
CO	Yuma	187
GA	Appling	1432
GA	Atkinson	744
GA	Bacon	444
GA	Baker	775
GA	Baldwin	7776
GA	Banks	198
GA	Barrow	4360
GA	Bartow	5378
GA	Ben Hill	2972
GA	Berrien	806
GA	Bibb	37253
GA	Bleckley	769
GA	Brantley	152
GA	Brooks	2915
GA	Bryan	2832
GA	Bulloch	6675
GA	Burke	4711
GA	Butts	2673
GA	Calhoun	1138
GA	Camden	3852
GA	Candler	1023
GA	Carroll	9368
GA	Catoosa	2443
GA	Charlton	957
GA	Chatham	52386
GA	Chattahoochee	708
GA	Chattooga	978
GA	Cherokee	12163
GA	Clarke	24109
GA	Clay	703
GA	Clayton	81980
GA	Clinch	803
GA	Cobb	122495
GA	Coffee	4633
GA	Colquitt	3509
GA	Columbia	11829
GA	Cook	1868
GA	Coweta	12307
GA	Crawford	1106
GA	Crisp	3404
GA	Dade	536
GA	Dawson	774
GA	Decatur	4433
GA	De Kalb	214812
GA	Dodge	1930
GA	Dooly	2152
GA	Dougherty	30619
GA	Douglas	30146
GA	Early	2311
GA	Echols	77
GA	Effingham	3821
GA	Elbert	2418
GA	Emanuel	2264
GA	Evans	1026
GA	Fannin	1412
GA	Fayette	18068
GA	Floyd	6989
GA	Forsyth	6423
GA	Franklin	733
GA	Fulton	225607
GA	Gilmer	950
GA	Glascock	99
GA	Glynn	6653
GA	Gordon	1618
GA	Grady	2962
GA	Greene	2818
GA	Gwinnett	119798
GA	Habersham	1358
GA	Hall	9354
GA	Hancock	2449
GA	Haralson	960
GA	Harris	2947
GA	Hart	2217
GA	Heard	644
GA	Henry	56929
GA	Houston	18378
GA	Irwin	1099
GA	Jackson	3123
GA	Jasper	1407
GA	Jeff Davis	1108
GA	Jefferson	3973
GA	Jenkins	1208
GA	Johnson	1141
GA	Jones	3706
GA	Lamar	2379
GA	Lanier	832
GA	Laurens	7916
GA	Lee	3137
GA	Liberty	13117
GA	Lincoln	1315
GA	Long	1664
GA	Lowndes	18080
GA	Lumpkin	1140
GA	Macon	2819
GA	Madison	1902
GA	Marion	1087
GA	McDuffie	3668
GA	McIntosh	1889
GA	Meriwether	4604
GA	Miller	623
GA	Mitchell	4245
GA	Monroe	3395
GA	Montgomery	797
GA	Morgan	2198
GA	Murray	1180
GA	Muscogee	45671
GA	Newton	25152
GA	Oconee	1951
GA	Oglethorpe	1511
GA	Paulding	14063
GA	Peach	4641
GA	Pickens	1073
GA	Pierce	779
GA	Pike	1025
GA	Polk	2375
GA	Pulaski	709
GA	Putnam	2108
GA	Quitman	347
GA	Rabun	775
GA	Randolph	1544
GA	Richmond	46665
GA	Rockdale	25098
GA	Schley	401
GA	Screven	2764
GA	Seminole	1394
GA	Spalding	9112
GA	Stephens	1014
GA	Stewart	837
GA	Sumter	5741
GA	Talbot	1757
GA	Taliaferro	489
GA	Tattnall	1910
GA	Taylor	1078
GA	Telfair	1447
GA	Terrell	2457
GA	Thomas	6350
GA	Tift	4601
GA	Toombs	2018
GA	Towns	166
GA	Treutlen	938
GA	Troup	9294
GA	Turner	1648
GA	Twiggs	2087
GA	Union	233
GA	Upson	3463
GA	Walker	2601
GA	Walton	7162
GA	Ware	2951
GA	Warren	1186
GA	Washington	4717
GA	Wayne	1928
GA	Webster	404
GA	Wheeler	604
GA	White	296
GA	Whitfield	4232
GA	Wilcox	893
GA	Wilkes	1620
GA	Wilkinson	1935
GA	Worth	2418
IA	Adair	1091
IA	Adams	532
IA	Allamakee	1784
IA	Appanoose	1851
IA	Audubon	620
IA	Benton	4280
IA	Black Hawk	33004
IA	Boone	5561
IA	Bremer	4594
IA	Buchanan	4219
IA	Buena Vista	3292
IA	Burt	2
IA	Butler	1840
IA	Calhoun	1320
IA	Carroll	3329
IA	Cass	918
IA	Cedar	3432
IA	Cerro Gordo	10778
IA	Cherokee	1463
IA	Chickasaw	2550
IA	Clarke	1517
IA	Clay	1120
IA	Clayton	3355
IA	Clinton	11493
IA	Crawford	2323
IA	Dallas	15680
IA	Davis	530
IA	Decatur	1230
IA	Delaware	2669
IA	Des Moines	9598
IA	Dickinson	2164
IA	Dubuque	25441
IA	Emmet	1706
IA	Fayette	3624
IA	Floyd	3489
IA	Franklin	756
IA	Fremont	825
IA	Greene	1613
IA	Grundy	1424
IA	Guthrie	1660
IA	Hamilton	1858
IA	Hancock	865
IA	Hardin	2045
IA	Harrison	1702
IA	Henry	2088
IA	Howard	1879
IA	Humboldt	1030
IA	Ida	631
IA	Iowa	2878
IA	Jackson	4217
IA	Jasper	8298
IA	Jefferson	3793
IA	Johnson	51570
IA	Jones	3602
IA	Keokuk	1567
IA	Kossuth	2529
IA	Lee	9132
IA	Linn	58368
IA	Louisa	1355
IA	Lucas	1203
IA	Lyon	691
IA	Madison	2560
IA	Mahaska	2267
IA	Marion	5207
IA	Marshall	8169
IA	Mills	1624
IA	Mitchell	1661
IA	Monona	1430
IA	Monroe	1230
IA	Montgomery	978
IA	Muscatine	8341
IA	O'Brien	924
IA	Osceola	423
IA	Page	1323
IA	Palo Alto	848
IA	Plymouth	2372
IA	Pocahontas	796
IA	Polk	117491
IA	Pottawattamie	14065
IA	Poweshiek	3904
IA	Ringgold	682
IA	Sac	1213
IA	Scott	40492
IA	Shelby	1447
IA	Sioux	1612
IA	Story	23433
IA	Tama	3382
IA	Taylor	633
IA	Union	1511
IA	Van Buren	830
IA	Wapello	7739
IA	Warren	10215
IA	Washington	2805
IA	Wayne	710
IA	Webster	8401
IA	Winnebago	1505
IA	Winneshiek	4197
IA	Woodbury	17267
IA	Worth	1378
IA	Wright	1204
KS	Allen	1370
KS	Anderson	796
KS	Atchison	2411
KS	Barber	306
KS	Barton	1669
KS	Bourbon	2055
KS	Brown	930
KS	Butler	5921
KS	Chase	198
KS	Chautauqua	172
KS	Cherokee	2091
KS	Cheyenne	162
KS	Clark	118
KS	Clay	521
KS	Cloud	714
KS	Coffey	714
KS	Comanche	97
KS	Cowley	3927
KS	Crawford	5512
KS	Decatur	153
KS	Dickinson	1209
KS	Doniphan	389
KS	Douglas	20226
KS	Edwards	157
KS	Elk	160
KS	Ellis	2069
KS	Ellsworth	426
KS	Finney	2531
KS	Ford	2061
KS	Franklin	2318
KS	Geary	2151
KS	Gove	113
KS	Graham	121
KS	Grant	353
KS	Gray	223
KS	Greeley	4
KS	Greenwood	341
KS	Hamilton	95
KS	Harper	328
KS	Harvey	3263
KS	Haskell	188
KS	Hodgeman	105
KS	Jackson	1383
KS	Jefferson	1802
KS	Jewell	131
KS	Johnson	76290
KS	Kearny	162
KS	Kingman	528
KS	Kiowa	75
KS	Labette	1873
KS	Lane	84
KS	Leavenworth	7945
KS	Lincoln	158
KS	Linn	686
KS	Logan	123
KS	Lyon	2990
KS	Marion	725
KS	Marshall	1070
KS	McPherson	1817
KS	Meade	159
KS	Miami	3039
KS	Mitchell	314
KS	Montgomery	2271
KS	Morris	539
KS	Morton	138
KS	Nemaha	866
KS	Neosho	1262
KS	Ness	124
KS	Norton	193
KS	Osage	1520
KS	Osborne	186
KS	Ottawa	309
KS	Pawnee	393
KS	Phillips	187
KS	Pottawatomie	1386
KS	Pratt	497
KS	Rawlins	129
KS	Reno	4938
KS	Republic	251
KS	Rice	554
KS	Riley	5154
KS	Rooks	221
KS	Rush	192
KS	Russell	337
KS	Saline	4047
KS	Scott	151
KS	Sedgwick	67946
KS	Seward	2721
KS	Shawnee	32674
KS	Sheridan	136
KS	Sherman	352
KS	Smith	261
KS	Stafford	207
KS	Stanton	128
KS	Stevens	211
KS	Sumner	2551
KS	Thayer	1
KS	Thomas	412
KS	Trego	180
KS	Wabaunsee	620
KS	Wallace	55
KS	Washington	324
KS	Wichita	128
KS	Wilson	450
KS	Woodson	253
KS	Wyandotte	35118
KY	Adair	1171
KY	Allen	1726
KY	Anderson	456
KY	Ballard	631
KY	Barren	5182
KY	Bath	1418
KY	Bell	2109
KY	Boone	11898
KY	Bourbon	2799
KY	Boyd	6922
KY	Boyle	3949
KY	Bracken	775
KY	Breathitt	542
KY	Breckinridge	391
KY	Bullitt	960
KY	Butler	725
KY	Caldwell	368
KY	Calloway	5046
KY	Campbell	11615
KY	Carlisle	56
KY	Carroll	1088
KY	Carter	3161
KY	Casey	717
KY	Christian	7820
KY	Clark	1353
KY	Clay	877
KY	Clinton	457
KY	Crittenden	85
KY	Cumberland	439
KY	Daviess	13340
KY	Edmonson	889
KY	Elliott	378
KY	Estill	1347
KY	Fayette	54059
KY	Fleming	339
KY	Floyd	1842
KY	Franklin	9213
KY	Fulton	975
KY	Gallatin	514
KY	Garrard	1468
KY	Grant	209
KY	Graves	1073
KY	Grayson	2041
KY	Green	988
KY	Greenup	4966
KY	Hancock	464
KY	Hardin	14198
KY	Harlan	1176
KY	Harrison	556
KY	Hart	537
KY	Henderson	6662
KY	Henry	2036
KY	Hickman	212
KY	Hopkins	1438
KY	Jackson	410
KY	Jefferson	144370
KY	Jessamine	6236
KY	Johnson	1505
KY	Kenton	19962
KY	Knott	390
KY	Knox	1769
KY	Larue	210
KY	Laurel	3137
KY	Lawrence	1586
KY	Lee	387
KY	Leslie	320
KY	Letcher	1326
KY	Lewis	803
KY	Lincoln	2311
KY	Livingston	904
KY	Logan	951
KY	Lyon	280
KY	Madison	9750
KY	Magoffin	891
KY	Marion	3242
KY	Marshall	871
KY	Martin	429
KY	Mason	1899
KY	McCracken	9234
KY	McCreary	678
KY	McLean	741
KY	Meade	871
KY	Menifee	680
KY	Mercer	595
KY	Metcalfe	1359
KY	Monroe	574
KY	Montgomery	750
KY	Morgan	554
KY	Muhlenberg	3770
KY	Nelson	1514
KY	Nicholas	312
KY	Ohio	2185
KY	Oldham	7819
KY	Owen	169
KY	Owsley	207
KY	Pendleton	142
KY	Perry	1591
KY	Pike	4170
KY	Powell	1318
KY	Pulaski	3616
KY	Robertson	94
KY	Rockcastle	831
KY	Rowan	3054
KY	Russell	1022
KY	Scott	5596
KY	Shelby	5297
KY	Simpson	763
KY	Spencer	185
KY	Taylor	2998
KY	Todd	955
KY	Trigg	455
KY	Trimble	938
KY	Union	907
KY	Warren	13377
KY	Washington	276
KY	Wayne	1536
KY	Webster	947
KY	Whitley	1638
KY	Wolfe	333
KY	Woodford	4498
ME	Androscoggin	16774
ME	Aroostook	10890
ME	Cumberland	71863
ME	Franklin	4501
ME	Hancock	10247
ME	Kennebec	20179
ME	Knox	8601
ME	Lincoln	6356
ME	Oxford	8774
ME	Penobscot	21351
ME	Piscataquis	2011
ME	Sagadahoc	7019
ME	Somerset	6623
ME	Waldo	6721
ME	Washington	4509
ME	York	39357
MI	Alcona	613
MI	Alger	1502
MI	Allegan	7266
MI	Alpena	1778
MI	Antrim	2566
MI	Arenac	1153
MI	Baraga	1240
MI	Barry	3703
MI	Bay	18110
MI	Benzie	3212
MI	Berrien	22188
MI	Branch	2257
MI	Calhoun	21644
MI	Cass	3625
MI	Charlevoix	2024
MI	Cheboygan	1582
MI	Chippewa	4037
MI	Clare	1917
MI	Clinton	7823
MI	Cochise	1
MI	Crawford	616
MI	Delta	3492
MI	Dickinson	2068
MI	Eaton	21047
MI	Emmet	3141
MI	Genesee	101773
MI	Gladwin	1360
MI	Gogebic	2742
MI	Grand Traverse	10909
MI	Gratiot	3320
MI	Hillsdale	1059
MI	Houghton	2955
MI	Huron	1054
MI	Ingham	70606
MI	Ionia	5022
MI	Iosco	1881
MI	Iron	1398
MI	Isabella	7444
MI	Jackson	17623
MI	Kalamazoo	57406
MI	Kalkaska	1182
MI	Kent	96540
MI	Keweenaw	366
MI	Lake	1500
MI	Lapeer	3653
MI	Leelanau	4594
MI	Lenawee	10527
MI	Livingston	13462
MI	Luce	342
MI	Mackinac	1581
MI	Macomb	153900
MI	Manistee	4097
MI	Marquette	12174
MI	Mason	2932
MI	Mecosta	3340
MI	Menominee	2332
MI	Midland	7069
MI	Missaukee	897
MI	Monroe	14848
MI	Montcalm	2689
MI	Montmorency	432
MI	Muskegon	35101
MI	Newaygo	2852
MI	Oakland	265232
MI	Oceana	1728
MI	Ogemaw	1325
MI	Ontonagon	373
MI	Osceola	515
MI	Oscoda	360
MI	Otsego	665
MI	Ottawa	18383
MI	Presque Isle	858
MI	Roscommon	1811
MI	Saginaw	43495
MI	Sanilac	1243
MI	Schoolcraft	320
MI	Shiawassee	6336
MI	St. Clair	14934
MI	St. Joseph	4099
MI	Tuscola	2253
MI	Van Buren	7427
MI	Washtenaw	117888
MI	Wayne	638068
MI	Wexford	1484
MT	Beaverhead	385
MT	Big Horn	179
MT	Blaine	1154
MT	Broadwater	64
MT	Carbon	665
MT	Carter	3
MT	Cascade	6746
MT	Chouteau	305
MT	Custer	515
MT	Daniels	16
MT	Dawson	125
MT	Deer Lodge	2306
MT	Fallon	10
MT	Fergus	192
MT	Flathead	4397
MT	Gallatin	11368
MT	Garfield	3
MT	Glacier	2434
MT	Golden Valley	18
MT	Granite	122
MT	Hill	2143
MT	Jefferson	430
MT	Judith Basin	11
MT	Lake	2736
MT	Lewis and Clark	12990
MT	Liberty	36
MT	Lincoln	282
MT	Madison	175
MT	McCone	16
MT	Meagher	43
MT	Mineral	94
MT	Missoula	27085
MT	Musselshell	46
MT	Park	1910
MT	Petroleum	2
MT	Phillips	167
MT	Pondera	344
MT	Powder River	21
MT	Powell	96
MT	Prairie	27
MT	Ravalli	1455
MT	Richland	82
MT	Roosevelt	1322
MT	Rosebud	570
MT	Sanders	287
MT	Sheridan	153
MT	Silver Bow	6914
MT	Stillwater	73
MT	Sweet Grass	43
MT	Teton	235
MT	Toole	82
MT	Treasure	5
MT	Valley	320
MT	Wheatland	12
MT	Wibaux	3
MT	Yellowstone	9804
NC	Alamance	28261
NC	Alexander	1154
NC	Alleghany	555
NC	Anson	6494
NC	Ashe	3245
NC	Avery	770
NC	Beaufort	7280
NC	Bertie	6129
NC	Bladen	8704
NC	Brunswick	19948
NC	Buncombe	61956
NC	Burke	11027
NC	Cabarrus	33741
NC	Caldwell	7649
NC	Camden	1202
NC	Carteret	7064
NC	Caswell	4820
NC	Catawba	17298
NC	Chatham	17887
NC	Cherokee	2587
NC	Chowan	3111
NC	Clay	1061
NC	Cleveland	15935
NC	Columbus	10698
NC	Craven	16269
NC	Cumberland	79728
NC	Currituck	2257
NC	Dare	4963
NC	Davidson	14910
NC	Davie	3194
NC	Duplin	9540
NC	Durham	86623
NC	Edgecombe	16493
NC	Forsyth	77165
NC	Franklin	12181
NC	Gaston	30386
NC	Gates	2887
NC	Graham	237
NC	Granville	12991
NC	Greene	3535
NC	Guilford	121029
NC	Halifax	16996
NC	Harnett	18820
NC	Haywood	5858
NC	Henderson	12733
NC	Hertford	7066
NC	Hoke	11575
NC	Hyde	1034
NC	Iredell	18125
NC	Jackson	7500
NC	Johnston	29892
NC	Jones	2173
NC	Lee	10992
NC	Lenoir	12694
NC	Lincoln	8324
NC	Macon	3991
NC	Madison	2697
NC	Martin	6359
NC	McDowell	1745
NC	Mecklenburg	217274
NC	Mitchell	732
NC	Montgomery	4794
NC	Moore	12528
NC	Nash	22405
NC	New Hanover	42013
NC	Northampton	6154
NC	Onslow	19406
NC	Orange	36446
NC	Pamlico	2172
NC	Pasquotank	9282
NC	Pender	8464
NC	Perquimans	2449
NC	Person	5753
NC	Pitt	38764
NC	Polk	2904
NC	Randolph	9938
NC	Richmond	11007
NC	Robeson	28930
NC	Rockingham	14718
NC	Rowan	15946
NC	Rutherford	4992
NC	Sampson	11029
NC	Scotland	9009
NC	Stanly	6958
NC	Stokes	3911
NC	Surry	3389
NC	Swain	1783
NC	Transylvania	4647
NC	Tyrrell	614
NC	Union	23813
NC	Vance	13552
NC	Wake	205919
NC	Warren	6108
NC	Washington	3652
NC	Watauga	10583
NC	Wayne	22545
NC	Wilkes	5564
NC	Wilson	20524
NC	Yadkin	2468
NC	Yancey	1415
NE	Adams	3328
NE	Antelope	459
NE	Arthur	19
NE	Banner	14
NE	Blaine	19
NE	Boone	422
NE	Box Butte	1124
NE	Boyd	123
NE	Brown	145
NE	Buffalo	3166
NE	Burt	918
NE	Butler	762
NE	Cass	3669
NE	Cedar	761
NE	Chase	187
NE	Cherry	207
NE	Cheyenne	632
NE	Clay	455
NE	Coconino	1
NE	Colfax	1045
NE	Cuming	818
NE	Custer	746
NE	Dakota	2718
NE	Dawes	599
NE	Dawson	2077
NE	Deuel	112
NE	Dixon	582
NE	Dodge	3343
NE	Douglas	93854
NE	Dundy	75
NE	Fillmore	672
NE	Franklin	227
NE	Frontier	138
NE	Furnas	271
NE	Gage	3174
NE	Garden	118
NE	Garfield	119
NE	Gosper	137
NE	Grant	24
NE	Greeley	77
NE	Hall	6569
NE	Hamilton	870
