statecode	datecanvassed	dials	canvassed	ctvs	vbms	vote_plan	week_number	dialer_minutes
AL	2020-08-26	95458	1680	917	94	0	10	29533
AL	2020-08-27	0	0	0	0	0	10	0
AL	2020-08-28	0	0	0	0	0	10	0
AL	2020-08-29	39	0	0	0	0	9	0
AL	2020-08-30	79	1	1	0	0	9	0
AL	2020-08-31	126241	1658	825	70	0	9	37676
AL	2020-09-01	94975	2432	1348	174	0	9	18419
AL	2020-09-02	0	0	0	0	0	9	0
AL	2020-09-03	0	0	0	0	0	9	0
AL	2020-09-04	0	0	0	0	0	9	0
AL	2020-09-05	0	0	0	0	0	8	0
AL	2020-09-06	0	0	0	0	0	8	0
AL	2020-09-07	0	0	0	0	0	8	0
AL	2020-09-08	28	0	0	0	0	8	0
AL	2020-09-09	85172	2533	1434	166	0	8	18333
AL	2020-09-10	0	0	0	0	0	8	0
AL	2020-09-11	0	0	0	0	0	8	0
AL	2020-09-12	1019	22	19	2	0	7	0
AL	2020-09-13	0	0	0	0	0	7	0
AL	2020-09-14	0	0	0	0	0	7	0
AL	2020-09-15	6294	219	118	9	0	7	2539
AL	2020-09-16	19	0	0	0	0	7	14
AL	2020-09-17	0	0	0	0	0	7	0
AL	2020-09-18	0	0	0	0	0	7	0
AL	2020-09-19	0	0	0	0	0	6	0
AL	2020-09-20	0	0	0	0	0	6	0
AL	2020-09-21	0	0	0	0	0	6	0
AL	2020-09-22	0	0	0	0	0	6	0
AL	2020-09-23	516	243	0	0	0	6	0
AL	2020-09-24	0	0	0	0	0	6	0
AL	2020-09-25	0	0	0	0	0	6	0
AL	2020-09-26	53210	865	621	30	0	5	10459
AL	2020-09-27	44873	772	550	35	0	5	10923
AL	2020-09-28	53332	905	670	37	0	5	10222
AL	2020-09-29	53532	885	659	29	0	5	11181
AL	2020-09-30	72224	1067	780	26	0	5	10870
AL	2020-10-01	0	0	0	0	0	5	0
AL	2020-10-02	0	0	0	0	0	5	0
AL	2020-10-03	0	0	0	0	0	4	0
AL	2020-10-04	0	0	0	0	0	4	0
AL	2020-10-05	0	0	0	0	0	4	0
AL	2020-10-06	0	0	0	0	0	4	0
AL	2020-10-07	0	0	0	0	0	4	0
AL	2020-10-08	0	0	0	0	0	4	0
AL	2020-10-09	0	0	0	0	0	4	0
AL	2020-10-10	1282	69	0	0	31	3	0
AL	2020-10-11	3205	48	0	0	21	3	0
AL	2020-10-12	16628	425	0	5	322	3	2965
AL	2020-10-13	29747	802	0	5	622	3	5536
AL	2020-10-14	22350	609	0	5	456	3	4770
AL	2020-10-15	0	0	0	0	0	3	0
AL	2020-10-16	0	0	0	0	0	3	0
AL	2020-10-17	17493	420	0	0	332	2	3486
AL	2020-10-18	23589	564	0	2	429	2	4220
AL	2020-10-19	26177	575	0	4	461	2	4348
AL	2020-10-20	27766	564	0	3	453	2	4475
AL	2020-10-21	16728	285	0	0	210	2	3194
AL	2020-10-22	0	0	0	0	0	2	0
AL	2020-10-23	0	0	0	0	0	2	0
AL	2020-10-24	0	0	0	0	0	1	0
AL	2020-10-25	0	0	0	0	0	1	0
AL	2020-10-26	577	0	0	0	0	1	0
AL	2020-10-27	0	0	0	0	0	1	0
AL	2020-10-28	0	0	0	0	0	1	0
AL	2020-10-29	0	0	0	0	0	1	0
AL	2020-10-30	0	0	0	0	0	1	0
AL	2020-10-31	0	0	0	0	0	1	0
AL	2020-11-01	35462	867	0	0	631	1	14230
AL	2020-11-02	0	0	0	0	0	1	0
AL	2020-11-03	3284	104	0	0	37	1	10202
AZ	2020-08-15	592	12	0	0	0	11	0
AZ	2020-08-16	17	1	0	0	0	11	0
AZ	2020-08-17	138700	11986	1711	48	0	11	0
AZ	2020-08-18	138831	13229	2005	164	0	11	0
AZ	2020-08-19	2886	70	0	1	0	11	0
AZ	2020-08-20	3956	79	0	6	0	11	0
AZ	2020-08-21	15	0	0	0	0	11	0
AZ	2020-08-22	161922	3791	2300	55	0	10	0
AZ	2020-08-23	141177	3019	1974	54	0	10	47528
AZ	2020-08-24	888	4	4	0	0	10	0
AZ	2020-08-25	53571	2579	0	108	0	10	0
AZ	2020-08-26	3069	57	0	4	0	10	0
AZ	2020-08-27	4812	51	0	3	0	10	0
AZ	2020-08-28	261	149	0	0	0	10	0
AZ	2020-08-29	4633	49	0	4	0	9	0
AZ	2020-08-30	586	2	0	0	0	9	0
AZ	2020-08-31	155149	4177	2828	74	0	9	51628
AZ	2020-09-01	219828	7215	2784	183	0	9	26453
AZ	2020-09-02	4033	62	11	1	0	9	0
AZ	2020-09-03	2060	26	0	0	0	9	0
AZ	2020-09-04	34	0	0	0	0	9	0
AZ	2020-09-05	1115	11	0	0	0	8	0
AZ	2020-09-06	14	0	0	0	0	8	0
AZ	2020-09-07	0	0	0	0	0	8	0
AZ	2020-09-08	84858	4691	3299	123	0	8	25942
AZ	2020-09-09	118787	4952	3356	104	0	8	27279
AZ	2020-09-10	215	10	0	0	0	8	0
AZ	2020-09-11	0	0	0	0	0	8	0
AZ	2020-09-12	104	2	2	0	0	7	0
AZ	2020-09-13	30	0	0	0	0	7	0
AZ	2020-09-14	16	5	0	0	0	7	0
AZ	2020-09-15	127658	5544	3826	132	0	7	84879
AZ	2020-09-16	118734	4336	3046	57	0	7	26638
AZ	2020-09-17	113	4	0	1	0	7	0
AZ	2020-09-18	0	0	0	0	0	7	0
AZ	2020-09-19	1029	24	0	0	0	6	0
AZ	2020-09-20	0	0	0	0	0	6	0
AZ	2020-09-21	340	20	0	1	0	6	0
AZ	2020-09-22	884	33	0	1	0	6	0
AZ	2020-09-23	60	35	0	0	0	6	0
AZ	2020-09-24	81	0	0	0	0	6	0
AZ	2020-09-25	12	0	0	0	0	6	0
AZ	2020-09-26	452	7	0	1	0	5	0
AZ	2020-09-27	20	0	0	0	0	5	0
AZ	2020-09-28	192	2	0	0	0	5	0
AZ	2020-09-29	31	0	0	0	0	5	0
AZ	2020-09-30	11	11	0	0	0	5	0
AZ	2020-10-01	0	0	0	0	0	5	0
AZ	2020-10-02	0	0	0	0	0	5	0
AZ	2020-10-03	129612	2402	1934	41	0	4	22857
AZ	2020-10-04	156077	2632	2112	45	0	4	24704
AZ	2020-10-05	114965	2597	1958	41	0	4	22489
AZ	2020-10-06	39	39	0	0	0	4	0
AZ	2020-10-07	29	29	0	0	0	4	0
AZ	2020-10-08	0	0	0	0	0	4	0
AZ	2020-10-09	0	0	0	0	0	4	0
AZ	2020-10-10	65207	2346	0	0	0	3	10632
AZ	2020-10-11	54191	2152	0	0	0	3	10060
AZ	2020-10-12	59313	2259	0	0	0	3	10460
AZ	2020-10-13	40374	1962	0	0	0	3	8704
AZ	2020-10-14	40635	1784	0	0	0	3	8537
AZ	2020-10-15	0	0	0	0	0	3	0
AZ	2020-10-16	0	0	0	0	0	3	0
AZ	2020-10-17	53066	2011	0	0	0	2	9228
AZ	2020-10-18	76785	2602	0	0	0	2	10176
AZ	2020-10-19	0	0	0	0	0	2	0
AZ	2020-10-20	54853	1956	0	0	0	2	8322
AZ	2020-10-21	55522	1803	0	0	0	2	7787
AZ	2020-10-22	0	0	0	0	0	2	0
AZ	2020-10-23	0	0	0	0	0	2	0
AZ	2020-10-24	36533	420	0	0	308	1	8586
AZ	2020-10-25	69820	527	0	0	340	1	8824
AZ	2020-10-26	108504	1061	0	0	627	1	13505
AZ	2020-10-27	104153	1129	0	0	592	1	11937
AZ	2020-10-28	109428	1756	0	0	882	1	12693
AZ	2020-10-29	0	0	0	0	0	1	0
AZ	2020-10-30	0	0	0	0	0	1	0
AZ	2020-10-31	129516	972	0	0	368	1	16183
