state	calling_region	field_staff
Alabama	Midwest	12
Arizona	Mountain West	89
Colorado	Mountain West	94
Florida	Southeast	166
Georgia	Southeast	132
Iowa	Midwest	55
Kansas	Midwest	30
Kentucky	Midwest	12
Maine	Northeast	19
Michigan	Northeast	157
Montana	Mountain West	35
Nebraska	Midwest	8
New Hampshire	Northeast	8	
North Carolina	Northeast	119
Pennsylvania	Northeast	169
South Carolina	Southeast	11
Wisconsin	Midwest	94
All States	—	1210
