phase	statecode	universe	avg_age	under_35_pct	f_pct	poc_pct	rural_pct	suburban_pct	urban_pct
0	canvass	AZ	278844	44	0.434293	0.493595	0.466763	0.146960	0.333333	0.519706
1	canvass	CO	132538	36	0.556927	0.514758	0.410162	0.013241	0.283662	0.703096
2	canvass	GA	78271	41	0.468475	0.510087	0.755695	0.010834	0.784084	0.205082
3	canvass	IA	58611	38	0.518264	0.556960	0.167375	0.052823	0.679736	0.267441
4	canvass	KS	37096	39	0.503612	0.557014	0.359257	0.047660	0.686732	0.265608
5	canvass	KY	11283	42	0.450589	0.557653	0.255517	0.053620	0.419835	0.526544
6	canvass	ME	16544	44	0.412657	0.499698	0.052224	0.466514	0.518315	0.015172
7	canvass	MI	433509	42	0.446823	0.558254	0.442711	0.087590	0.349100	0.563310
8	canvass	MT	12757	39	0.532257	0.465940	0.033001	0.168143	0.831857	0.000000
9	canvass	NC	91966	38	0.507612	0.513201	0.683470	0.010015	0.570602	0.419383
10	canvass	NE	8708	39	0.512632	0.486794	0.399058	0.000574	0.028135	0.971291
11	canvass	NH	5677	48	0.240268	0.502026	0.121543	0.041747	0.958253	0.000000
12	canvass	PA	137648	40	0.500588	0.519855	0.383594	0.021925	0.315333	0.662741
13	canvass	WI	81539	46	0.250162	0.475417	0.336305	0.018359	0.453979	0.527662
14	phone	AL	736143	47	0.327085	0.600665	0.813891	0.408734	0.556287	0.034978
15	phone	AZ	1259608	47	0.349337	0.527709	0.383999	0.178017	0.303807	0.518175
16	phone	CO	1179241	48	0.314497	0.570843	0.225181	0.156626	0.327144	0.516230
17	phone	FL	4845543	50	0.295453	0.594525	0.560941	0.098982	0.458399	0.442619
18	phone	GA	1588115	49	0.264324	0.604214	0.738723	0.235626	0.542558	0.221816
19	phone	IA	646692	49	0.311833	0.593575	0.075476	0.439286	0.466964	0.093749
20	phone	KS	341030	51	0.268190	0.600833	0.174926	0.331713	0.436601	0.231686
21	phone	KY	488144	56	0.170042	0.597676	0.112668	0.410946	0.327670	0.261384
22	phone	ME	252548	54	0.209802	0.583996	0.021853	0.712760	0.281483	0.005757
23	phone	MI	1934085	48	0.320021	0.617834	0.356514	0.136377	0.346563	0.517060
24	phone	MT	101307	52	0.259508	0.590719	0.093705	0.400920	0.599080	0.000000
25	phone	NC	1842455	48	0.319304	0.587484	0.547184	0.403493	0.483570	0.112937
26	phone	NE	249707	52	0.230835	0.574313	0.139259	0.300877	0.303532	0.395592
27	phone	NH	235258	56	0.146673	0.590654	0.037640	0.539221	0.460779	0.000000
28	phone	NV	249683	50	0.273010	0.498424	0.347697	0.077751	0.235531	0.686719
29	phone	PA	2947912	49	0.306629	0.572000	0.265731	0.171472	0.390644	0.437884
30	phone	SC	654686	53	0.222947	0.594105	0.742900	0.506229	0.489071	0.004700
31	phone	TX	1	68	0.000000	1.000000	0.000000	1.000000	0.000000	0.000000
32	phone	WI	1020292	54	0.163789	0.582121	0.202813	0.242743	0.390897	0.366360

0	canvass	1384991	41	0.458383	0.524344	0.440532	0.074053	0.412331	0.513616
1	phone	20572450	50	0.288883	0.586294	0.424007	0.228229	0.421839	0.349933
